netPnL,closeTime,openTime,tradeId,ticker,direction,setup,rMultiple,quantity,riskAmount,mae_r,mfe_r,mae_points,mfe_points,highestPrice,lowestPrice,plannedRR,entryPrice,exitPrice,stopLoss,takeProfit,commission_at_entry,spread_pips_at_entry,pip_value_at_entry,closeType,durationMinutes,status,originalRiskAmount,rewardToRiskRatio,mfe,mae,total_mfe_r,capture_ratio,management_gap,exit_timing_gap,would_have_won,exit_confirmed,dayOfWeek,hourOfEntry,hourOfExit,month,year,holdingTimeHours,holdingTimeMs,initial_sl,array_base_price,balance_at_creation,balance_at_exit,commission_total,planned_risk_pct,actual_risk_r,hasPartialCloses,hasMultipleTakeProfits,rulesFollowed,trading_session_id,sourceSessionName,bar_high_r,bar_low_r,bar_close_r,post_exit_bar_high_r,post_exit_bar_low_r,post_exit_bar_close_r
77.81,2025-09-09T15:17:00.000Z,2025-09-09T09:40:00.000Z,22035,USDJPY,SHORT,London Open Liquidity Scalp,1.9293,0.16,40.33,-0.2088,2.7373,150.652,149.841,150.652,149.841,2.0,150.595,150.044,150.87,150.044,3.0,0.9,9.2,TP,337,closed,40.33,1.93,149.841,150.652,2.9032,0.7048,0.808,0.2419,false,true,Tuesday,9,15,September,2025,5.6167,20220000,150.87,150.595,11050.4,11128.21,6.0,0.365,1.0,false,false,true,8801,London Open Liquidity Scalp — QA 200,"[0.3944, 0.3944, 0.4394, 0.4394, 0.466, 0.5814, 0.5814, 0.5814, 0.5814, 0.6733, 0.7311, 0.7311, 0.8834, 0.8834, 0.9274, 0.9274, 0.9441, 1.0328, 1.1009, 1.1299, 1.1299, 1.1299, 1.1299, 1.1737, 1.2525, 1.2525, 1.2525, 1.2525, 1.3946, 1.6181, 1.622, 1.622, 1.622, 1.6447, 1.7188, 1.7188, 1.7188, 1.7188, 1.7229, 1.9603, 1.9603, 1.9603, 1.9603, 1.9603, 1.9603, 2.1819, 2.1819, 2.3434, 2.3481, 2.3921, 2.3921, 2.3921, 2.3921, 2.4235, 2.6458, 2.6458, 2.7141, 2.7141, 2.7141, 2.7141, 2.7141, 2.7281, 2.7373, 2.7373, 2.7373, 2.7373, 2.7373]","[0.1144, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088, 0.2088]","[0.0132, 0.0773, 0.1143, 0.1056, 0.0998, 0.1924, 0.2062, 0.2656, 0.2749, 0.3146, 0.3557, 0.3877, 0.4187, 0.3669, 0.4227, 0.4495, 0.5302, 0.5019, 0.5823, 0.5377, 0.6368, 0.6629, 0.6704, 0.7003, 0.7598, 0.7552, 0.8213, 0.8087, 0.8156, 0.859, 0.8814, 0.9322, 0.9557, 0.9765, 1.0399, 1.0179, 1.0947, 1.1365, 1.1557, 1.1638, 1.203, 1.1649, 1.2497, 1.237, 1.2819, 1.3565, 1.3934, 1.4041, 1.4353, 1.3948, 1.4868, 1.514, 1.5043, 1.5649, 1.5497, 1.5854, 1.6539, 1.639, 1.7196, 1.765, 1.7554, 1.8101, 1.8101, 1.8244, 1.8956, 1.9262, 1.9293]","[1.9808, 1.9405, 1.9353, 1.9538, 2.0631, 2.0436, 2.1188, 2.1257, 2.2124, 2.1925, 2.244, 2.2173, 2.2308]","[0.0291, 0.0701, 0.0729, 0.0823, 0.0878, 0.1325, 0.1951, 0.2329, 0.2539, 0.299, 0.3198, 0.3488, 0.419]","[2.1272, 2.0223, 1.951, 1.7535, 2.1434, 1.9355, 2.0358, 2.19, 1.8114, 1.7977, 1.8913, 1.9538, 1.7691]"
-45.39,2025-07-06T11:44:00.000Z,2025-07-06T07:25:00.000Z,22036,XAUUSD,SHORT,London Open Liquidity Scalp,-0.8759,2.56,51.82,-0.9621,0.4525,1998.477,1998.192,1998.485,1998.192,3.0,1998.283,1998.485,1998.485,1997.677,4.0,2.5,1.0,SL,259,closed,51.82,0.88,1998.192,1998.477,0.5577,1.9357,0.4331,0.2077,true,false,Monday,7,11,July,2025,4.3167,15540000,1998.485,1998.283,11128.21,11082.82,8.0,0.4657,1.0,false,true,true,8801,London Open Liquidity Scalp — QA 200,"[0.1833, 0.1833, 0.1833, 0.4082, 0.4082, 0.4082, 0.4082, 0.4082, 0.4082, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.4525, 0.8759]","[0.1238, 0.2901, 0.2901, 0.3823, 0.3823, 0.5776, 0.5894, 0.5894, 0.6288, 0.648, 0.6763, 0.8938, 0.8938, 0.8938, 0.9312, 0.9621, 0.9621]","[-0.0244, -0.0732, -0.1328, -0.2354, -0.2483, -0.2677, -0.4021, -0.4133, -0.4839, -0.4764, -0.5441, -0.6221, -0.7085, -0.7194, -0.8161, -0.8254, -0.8759]","[0.5204, 0.5204, 0.5204, 0.5204, 0.5204]","[0.0706, 0.1223, 0.1942, 0.273, 0.3101]","[-0.9481, -0.8805, -0.8084, -0.7367, -0.7581]"
-38.78,2024-03-02T21:19:00.000Z,2024-03-02T14:37:00.000Z,22037,USDJPY,LONG,London Open Liquidity Scalp,-0.7335,0.31,52.87,-0.8778,1.1863,149.316,149.695,149.695,149.316,2.0,149.477,149.342,149.294,149.844,3.0,0.9,9.2,MANUAL,402,closed,52.87,0.73,149.695,149.316,1.5862,0.6183,0.3207,0.1718,true,false,Monday,14,21,March,2024,6.7,24120000,149.294,149.477,11082.82,11044.04,6.0,0.477,1.0,false,false,true,8801,London Open Liquidity Scalp — QA 200,"[0.3155, 0.3155, 0.3155, 0.3352, 0.3759, 0.6383, 0.6383, 0.6383, 0.6383, 0.6383, 0.854, 0.8801, 0.9641, 0.9641, 0.9641, 0.9831, 0.9831, 1.0452, 1.1566, 1.1566, 1.1863, 1.1863, 1.1863, 1.1863, 1.1863, 1.1863]","[0.0822, 0.2823, 0.3475, 0.3475, 0.3475, 0.3572, 0.3572, 0.3694, 0.527, 0.527, 0.527, 0.527, 0.683, 0.683, 0.683, 0.683, 0.683, 0.7796, 0.834, 0.8647, 0.8728, 0.8728, 0.8778, 0.8778, 0.8778, 0.8778]","[-0.0183, -0.0163, -0.0768, -0.0931, -0.1571, -0.1268, -0.2372, -0.2497, -0.2329, -0.3019, -0.3049, -0.3434, -0.3877, -0.3829, -0.4063, -0.4083, -0.4953, -0.5331, -0.5163, -0.5552, -0.5832, -0.6562, -0.678, -0.673, -0.7231, -0.7335]","[0.7721, 0.8449, 0.937, 0.9383, 0.9774, 1.0172, 0.99, 1.0933, 1.1505, 1.268, 1.3179]","[0.0652, 0.0685, 0.1348, 0.1471, 0.1536, 0.1566, 0.178, 0.2432, 0.3113, 0.335, 0.4047]","[-0.6598, -0.554, -0.681, -0.6293, -0.7496, -0.5489, -0.8144, -0.8036, -0.5162, -0.6382, -0.7081]"
45.27,2024-09-24T18:36:00.000Z,2024-09-24T15:41:00.000Z,22038,EURUSD,SHORT,London Open Liquidity Scalp,0.9519,0.21,47.56,-0.459,1.9694,1.11061,1.10504,1.11061,1.10497,2.0,1.10956,1.10497,1.11185,1.10497,3.0,0.8,10.0,TP,175,closed,47.56,0.95,1.10504,1.11061,2.3172,0.4833,1.0175,0.015,false,false,Tuesday,15,18,September,2024,2.9167,10500000,1.11185,1.10956,11044.04,11089.31,6.0,0.4306,1.0,true,false,true,8801,London Open Liquidity Scalp — QA 200,"[0.3086, 0.439, 0.4391, 0.4391, 0.6595, 0.6595, 0.6595, 0.6595, 0.7524, 0.9037, 0.9037, 0.9325, 0.9325, 1.1474, 1.1474, 1.1474, 1.2248, 1.3728, 1.3728, 1.3735, 1.3873, 1.563, 1.563, 1.563, 1.563, 1.6753, 1.8196, 1.8196, 1.9516, 1.9516, 1.9516, 1.9694, 1.9694, 1.9694, 1.9694]","[0.1461, 0.2278, 0.2278, 0.2278, 0.2278, 0.2781, 0.2781, 0.2781, 0.3395, 0.3395, 0.3508, 0.368, 0.368, 0.368, 0.368, 0.3909, 0.459, 0.459, 0.459, 0.459, 0.459, 0.459, 0.459, 0.459, 0.459, 0.459, 0.459, 0.459, 0.459, 0.459, 0.459, 0.459, 0.459, 0.459, 0.459]","[0.0194, 0.0417, 0.1264, 0.1214, 0.1347, 0.2037, 0.1917, 0.2533, 0.2529, 0.3131, 0.3364, 0.3295, 0.321, 0.3477, 0.4319, 0.4517, 0.4892, 0.5174, 0.5254, 0.5631, 0.6006, 0.5893, 0.6167, 0.6974, 0.6609, 0.7194, 0.7606, 0.7812, 0.8179, 0.8316, 0.8607, 0.8871, 0.8894, 0.8968, 0.9519]","[0.9383, 0.9335, 1.0078, 1.08, 1.1725, 1.2324, 1.2584, 1.3654, 1.441, 1.493, 1.4679, 1.4495, 1.4097, 1.4545, 1.4679, 1.486, 1.4933, 1.5097, 1.5589, 1.524, 1.6341, 1.7293, 1.8148, 1.8794, 1.8957]","[0.0257, 0.0809, 0.0859, 0.1255, 0.145, 0.1894, 0.2324, 0.2578, 0.2795, 0.3593, 0.3845, 0.4366, 0.4964, 0.5091, 0.5225, 0.5905, 0.6494, 0.6687, 0.7316, 0.7531, 0.8072, 0.8093, 0.837, 0.8831, 0.9501]","[0.8984, 1.0111, 0.959, 0.7829, 0.9016, 0.9371, 1.1726, 0.9544, 0.7751, 1.0735, 0.8398, 0.9656, 1.0942, 1.0257, 1.0676, 1.2399, 0.9096, 0.7971, 1.0804, 0.9577, 1.0597, 0.9039, 0.7846, 0.8887, 0.9286]"
-32.63,2024-08-09T10:48:00.000Z,2024-08-09T08:38:00.000Z,22039,EURUSD,LONG,London Open Liquidity Scalp,-0.6336,0.18,51.5,-0.5844,1.7447,1.06507,1.07156,1.07156,1.06391,2.0,1.0667,1.06391,1.06391,1.07228,3.0,0.8,10.0,SL,130,closed,51.5,0.63,1.07156,1.06507,1.7665,0.3632,0.4085,0.2258,true,true,Friday,8,10,August,2024,2.1667,7800000,1.06391,1.0667,11089.31,11056.68,6.0,0.4644,1.0,false,false,true,8801,London Open Liquidity Scalp — QA 200,"[0.2414, 0.3399, 0.3399, 0.3468, 0.6613, 0.6613, 0.6613, 0.8958, 0.8958, 0.9042, 1.0474, 1.0474, 1.2373, 1.2373, 1.2603, 1.4285, 1.4285, 1.4645, 1.5435, 1.695, 1.7447, 1.7447, 1.7447, 1.7447, 1.7447, 1.7447]","[0.2702, 0.2702, 0.2702, 0.2702, 0.2702, 0.2964, 0.3765, 0.3965, 0.4326, 0.4326, 0.4326, 0.4326, 0.4326, 0.4326, 0.5259, 0.5259, 0.5259, 0.5531, 0.5531, 0.5531, 0.5531, 0.5531, 0.5844, 0.5844, 0.5844, 0.5844]","[-0.0051, -0.0097, -0.1013, -0.0552, -0.1147, -0.1734, -0.1784, -0.1695, -0.2021, -0.2253, -0.3074, -0.2844, -0.3141, -0.3854, -0.3603, -0.4042, -0.3845, -0.4367, -0.4613, -0.5231, -0.4736, -0.5616, -0.5569, -0.6127, -0.6138, -0.6336]","[0.7002, 0.7076, 0.6977, 0.6863, 0.7835, 0.901, 0.907, 0.9372]","[0.0569, 0.126, 0.1959, 0.2103, 0.2466, 0.2501, 0.3059, 0.3088]","[-0.4391, -0.4363, -0.4097, -0.7226, -0.3461, -0.5626, -0.6065, -0.6785]"
51.3,2023-12-26T14:03:00.000Z,2023-12-26T10:32:00.000Z,22040,USDJPY,LONG,London Open Liquidity Scalp,0.9354,0.46,54.84,-0.7301,2.2265,147.389,147.769,147.769,147.389,2.0,147.483,147.74,147.355,147.74,3.0,0.9,9.2,TP,211,closed,54.84,0.94,147.769,147.389,2.4604,0.4201,1.2911,0.1223,false,false,Tuesday,10,14,December,2023,3.5167,12660000,147.355,147.483,11056.68,11107.98,6.0,0.496,1.0,false,false,false,8801,London Open Liquidity Scalp — QA 200,"[0.252, 0.252, 0.252, 0.521, 0.521, 0.7031, 0.7031, 0.8021, 0.8021, 0.8807, 0.9404, 0.9404, 0.9404, 0.9404, 0.9404, 1.0041, 1.0041, 1.2018, 1.354, 1.354, 1.354, 1.4684, 1.5314, 1.6164, 1.6269, 1.6269, 1.6269, 1.6269, 1.761, 1.761, 1.761, 2.0516, 2.0516, 2.0516, 2.0596, 2.2265, 2.2265, 2.2265, 2.2265, 2.2265, 2.2265, 2.2265]","[0.0553, 0.0662, 0.1452, 0.1452, 0.1452, 0.2239, 0.2239, 0.2739, 0.3672, 0.3738, 0.3738, 0.3738, 0.3738, 0.3738, 0.4688, 0.4688, 0.5278, 0.5278, 0.5332, 0.541, 0.541, 0.541, 0.6389, 0.6389, 0.6389, 0.6389, 0.6446, 0.6446, 0.6446, 0.6824, 0.6824, 0.6824, 0.6824, 0.6824, 0.7301, 0.7301, 0.7301, 0.7301, 0.7301, 0.7301, 0.7301, 0.7301]","[-0.0042, 0.0155, 0.0795, 0.0974, 0.132, 0.1507, 0.1657, 0.1392, 0.1905, 0.2271, 0.2742, 0.2681, 0.2756, 0.3156, 0.3484, 0.3275, 0.3826, 0.3608, 0.4296, 0.4117, 0.5033, 0.4776, 0.5534, 0.5254, 0.5195, 0.5716, 0.5826, 0.6087, 0.6031, 0.6412, 0.6845, 0.7158, 0.7394, 0.7614, 0.7433, 0.8018, 0.8551, 0.8374, 0.8445, 0.9066, 0.9384, 0.9354]","[0.9131, 0.9853, 0.9632, 1.0342, 1.0246, 0.9787, 1.0363, 1.1506, 1.1076, 1.0643, 1.1478, 1.1516, 1.2419]","[0.0398, 0.0478, 0.0532, 0.105, 0.1644, 0.2065, 0.2456, 0.3168, 0.3817, 0.4234, 0.4281, 0.4613, 0.5111]","[0.9702, 1.1703, 0.7938, 1.0869, 0.9731, 1.0279, 1.0592, 1.0019, 0.8468, 0.7501, 1.045, 0.7544, 0.8661]"
129.06,2024-08-20T10:32:00.000Z,2024-08-20T08:50:00.000Z,22041,GBPUSD,LONG,London Open Liquidity Scalp,2.8789,0.2,44.83,-0.8248,4.5762,1.2383,1.25042,1.25042,1.2383,3.0,1.24015,1.24661,1.23791,1.24688,3.5,1.2,10.0,MANUAL,102,closed,44.83,2.88,1.25042,1.2383,4.8682,0.6291,1.6973,0.2702,false,false,Tuesday,8,10,August,2024,1.7,6120000,1.23791,1.24015,11107.98,11237.04,7.0,0.4036,1.0,false,true,true,8801,London Open Liquidity Scalp — QA 200,"[0.16, 0.5129, 0.5129, 0.5129, 0.5739, 0.6898, 0.7196, 0.7196, 0.7196, 0.7995, 0.8685, 0.8685, 1.0293, 1.0293, 1.0293, 1.0293, 1.2887, 1.3768, 1.3768, 1.5268, 1.5268, 1.5268, 1.7044, 1.7044, 1.7532, 1.7814, 1.7814, 1.8192, 1.9187, 1.9671, 1.9671, 2.1538, 2.1538, 2.1745, 2.2936, 2.2936, 2.3377, 2.5166, 2.5166, 2.6579, 2.6579, 2.6828, 2.6828, 2.6828, 2.7154, 3.0284, 3.0284, 3.0284, 3.0284, 3.2294, 3.2294, 3.3664, 3.3664, 3.3664, 3.5282, 3.5282, 3.5282, 3.5282, 3.5282, 3.759, 3.759, 3.759, 3.759, 3.9509, 3.9565, 3.9565, 4.0422, 4.1528, 4.2104, 4.2254, 4.2254, 4.2254, 4.2254, 4.3243, 4.3844, 4.5762, 4.5762, 4.5762, 4.5762, 4.5762]","[0.233, 0.233, 0.2476, 0.2476, 0.2476, 0.2476, 0.2822, 0.2822, 0.2822, 0.2822, 0.2822, 0.2822, 0.2822, 0.3195, 0.3195, 0.3195, 0.3195, 0.3195, 0.3966, 0.3966, 0.3966, 0.3966, 0.4646, 0.4646, 0.4646, 0.4646, 0.4646, 0.5304, 0.5304, 0.5385, 0.5385, 0.5385, 0.5385, 0.5499, 0.593, 0.593, 0.593, 0.593, 0.6128, 0.6128, 0.6128, 0.6252, 0.6252, 0.6252, 0.6538, 0.7035, 0.7035, 0.7035, 0.7035, 0.7035, 0.7229, 0.7229, 0.7229, 0.7229, 0.7229, 0.8082, 0.8082, 0.8082, 0.8082, 0.8082, 0.8082, 0.8227, 0.8248, 0.8248, 0.8248, 0.8248, 0.8248, 0.8248, 0.8248, 0.8248, 0.8248, 0.8248, 0.8248, 0.8248, 0.8248, 0.8248, 0.8248, 0.8248, 0.8248, 0.8248]","[0.0521, 0.1073, 0.1283, 0.1108, 0.1379, 0.183, 0.2124, 0.3134, 0.3454, 0.3696, 0.4195, 0.4268, 0.4738, 0.5326, 0.558, 0.5705, 0.6552, 0.6233, 0.6634, 0.7032, 0.7173, 0.7479, 0.86, 0.8514, 0.9048, 0.9535, 1.0144, 0.9863, 1.0321, 1.087, 1.121, 1.1646, 1.1703, 1.1896, 1.2391, 1.3364, 1.338, 1.3415, 1.4323, 1.4344, 1.4338, 1.4998, 1.5137, 1.5922, 1.6375, 1.6852, 1.7043, 1.7271, 1.7606, 1.8279, 1.8512, 1.8278, 1.8634, 1.9687, 1.9688, 1.9856, 2.0271, 2.0868, 2.0877, 2.1869, 2.1673, 2.2725, 2.2395, 2.2824, 2.3372, 2.4184, 2.3697, 2.4132, 2.4878, 2.5461, 2.515, 2.5747, 2.609, 2.628, 2.7404, 2.7534, 2.8155, 2.7958, 2.8838, 2.8789]","[2.9061, 2.9491, 3.0229, 3.0161, 3.0334, 3.0977, 3.1138, 3.0904, 3.2013, 3.2585, 3.3053, 3.3218, 3.3438, 3.3203, 3.2894, 3.3869, 3.4847]","[0.057, 0.1146, 0.1188, 0.1667, 0.2055, 0.226, 0.272, 0.3381, 0.379, 0.4039, 0.4361, 0.4796, 0.4829, 0.5305, 0.5951, 0.6234, 0.6657]","[2.7824, 2.7161, 2.8257, 3.1636, 2.7372, 2.8207, 2.7906, 2.6919, 2.801, 2.7888, 2.8, 2.9894, 3.0596, 3.157, 3.1386, 2.7645, 2.8489]"
48.45,2024-05-31T11:06:00.000Z,2024-05-31T08:30:00.000Z,22042,XAUUSD,SHORT,London Open Liquidity Scalp,1.1454,1.95,42.3,-0.283,2.9299,2049.278,2048.58,2049.278,2048.58,2.5,2049.217,2048.674,2049.434,2048.674,4.0,2.5,1.0,TP,156,closed,42.3,1.15,2048.58,2049.278,2.9558,0.3909,1.7845,0.2151,false,true,Friday,8,11,May,2024,2.6,9360000,2049.434,2049.217,11237.04,11285.49,8.0,0.3764,1.0,false,false,false,8801,London Open Liquidity Scalp — QA 200,"[0.2048, 0.2991, 0.6493, 0.6493, 0.6772, 0.6772, 0.981, 0.981, 1.1903, 1.3349, 1.3349, 1.3349, 1.3773, 1.3773, 1.4767, 1.6184, 1.6704, 1.9704, 2.1765, 2.256, 2.256, 2.3783, 2.3783, 2.4452, 2.4935, 2.5642, 2.8379, 2.8379, 2.8379, 2.9299, 2.9299]","[0.2167, 0.2167, 0.2167, 0.2167, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283, 0.283]","[0.039, 0.038, 0.1487, 0.157, 0.1591, 0.1913, 0.2699, 0.3179, 0.3367, 0.4038, 0.3956, 0.4697, 0.4784, 0.5124, 0.589, 0.5807, 0.6638, 0.677, 0.6974, 0.7803, 0.7469, 0.8192, 0.8378, 0.9221, 0.9531, 0.981, 1.0378, 0.9949, 1.0424, 1.1272, 1.1454]","[1.2365, 1.2243, 1.2463, 1.2646, 1.2939, 1.35, 1.3615, 1.4761, 1.4422, 1.5362, 1.5603, 1.5296, 1.6066, 1.6912, 1.708, 1.7414, 1.712]","[0.0417, 0.0864, 0.1448, 0.1753, 0.2095, 0.2276, 0.3036, 0.3173, 0.3937, 0.4391, 0.4414, 0.5091, 0.5366, 0.6115, 0.6294, 0.6548, 0.687]","[1.3894, 1.0109, 1.2179, 1.0866, 1.3973, 1.3831, 1.1061, 1.1793, 1.2389, 1.1612, 1.3446, 1.433, 1.1301, 0.9822, 1.0089, 1.2828, 1.2442]"
-27.13,2024-04-27T14:50:00.000Z,2024-04-27T10:03:00.000Z,22043,USDJPY,SHORT,London Open Liquidity Scalp,-0.5373,0.31,50.49,-0.872,0.6643,146.389,146.114,146.389,146.114,1.5,146.233,146.329,146.412,145.964,3.0,0.9,9.2,STOP_OUT,287,closed,50.49,0.54,146.114,146.389,1.0339,0.8088,0.5215,0.1611,true,true,Monday,10,14,April,2024,4.7833,17220000,146.412,146.233,11285.49,11258.36,6.0,0.4474,1.0,false,false,false,8801,London Open Liquidity Scalp — QA 200,"[0.0797, 0.1095, 0.3177, 0.3177, 0.3177, 0.3177, 0.3177, 0.3177, 0.3177, 0.4018, 0.4859, 0.4859, 0.4859, 0.4859, 0.4859, 0.4859, 0.4859, 0.4859, 0.6156, 0.6156, 0.6156, 0.6397, 0.6397, 0.6397, 0.6397, 0.6397, 0.6397, 0.6397, 0.6643, 0.6643, 0.6643, 0.6643, 0.6643, 0.6643, 0.6643, 0.6643, 0.6643, 0.6643, 0.6643, 0.6643, 0.6643, 0.6643, 0.6643, 0.6643, 0.6643, 0.6643, 0.6643, 0.6643, 0.6643, 0.6643, 0.6643, 0.6643, 0.6643, 0.6643, 0.6643, 0.6643, 0.6643]","[0.1182, 0.1182, 0.1182, 0.2259, 0.2523, 0.2812, 0.2812, 0.2812, 0.3737, 0.3737, 0.3945, 0.3945, 0.3945, 0.4547, 0.4591, 0.4591, 0.4591, 0.4591, 0.4591, 0.4591, 0.5371, 0.5371, 0.5371, 0.5371, 0.5731, 0.5731, 0.5731, 0.5731, 0.5731, 0.6871, 0.692, 0.692, 0.7547, 0.7547, 0.7547, 0.7547, 0.7547, 0.7547, 0.7592, 0.7592, 0.7592, 0.8701, 0.8701, 0.8701, 0.8701, 0.8701, 0.8701, 0.8701, 0.8709, 0.8709, 0.872, 0.872, 0.872, 0.872, 0.872, 0.872, 0.872]","[-0.0151, -0.0572, -0.0114, -0.0609, -0.0916, -0.0912, -0.039, -0.0594, -0.0673, -0.1262, -0.141, -0.142, -0.0888, -0.1742, -0.1358, -0.1164, -0.1392, -0.1615, -0.1946, -0.21, -0.2222, -0.2319, -0.1815, -0.2636, -0.236, -0.2721, -0.2209, -0.2335, -0.2344, -0.3141, -0.3172, -0.2756, -0.3288, -0.3374, -0.3533, -0.3249, -0.361, -0.356, -0.3474, -0.3425, -0.4297, -0.4284, -0.403, -0.4185, -0.3955, -0.461, -0.4313, -0.458, -0.4851, -0.4652, -0.4741, -0.4592, -0.4646, -0.4967, -0.4939, -0.5284, -0.5373]","[0.5885, 0.6071, 0.5673, 0.5632, 0.6284, 0.5863, 0.6583, 0.7476, 0.7639, 0.7639, 0.7639, 0.7639, 0.7639, 0.7318, 0.7639, 0.7425]","[0.0155, 0.0271, 0.0966, 0.1089, 0.1824, 0.2152, 0.2812, 0.2933, 0.295, 0.3574, 0.4001, 0.4339, 0.4374, 0.4726, 0.4837, 0.4898]","[-0.7364, -0.4657, -0.2816, -0.5006, -0.5801, -0.3541, -0.4515, -0.5984, -0.4839, -0.3631, -0.6812, -0.4645, -0.7081, -0.3022, -0.4886, -0.6852]"
-52.1,2024-08-07T21:06:00.000Z,2024-08-07T15:27:00.000Z,22044,GBPUSD,SHORT,London Open Liquidity Scalp,-0.9983,0.2,52.19,-0.7487,1.4115,1.2466,1.24089,1.24726,1.24089,2.5,1.24462,1.24726,1.24726,1.23801,3.5,1.2,10.0,STOP_OUT,339,closed,52.19,1.0,1.24089,1.2466,1.4235,0.7073,0.2378,0.3295,true,false,Wednesday,15,21,August,2024,5.65,20340000,1.24726,1.24462,11258.36,11206.26,7.0,0.4636,1.0,false,false,true,8801,London Open Liquidity Scalp — QA 200,"[0.0374, 0.2387, 0.2387, 0.4075, 0.4254, 0.4254, 0.5355, 0.5355, 0.5355, 0.5355, 0.5355, 0.5355, 0.5355, 0.6239, 0.6239, 0.6239, 0.7214, 0.7214, 0.7214, 0.7214, 0.7882, 0.7882, 0.7882, 0.8267, 0.8267, 0.8267, 0.9293, 0.9293, 0.9293, 1.0158, 1.0158, 1.0158, 1.0158, 1.0158, 1.0158, 1.0158, 1.1178, 1.1178, 1.1204, 1.1204, 1.1204, 1.2618, 1.2618, 1.2618, 1.2618, 1.2618, 1.2618, 1.2914, 1.4115, 1.4115, 1.4115, 1.4115, 1.4115, 1.4115, 1.4115, 1.4115, 1.4115, 1.4115, 1.4115, 1.4115, 1.4115, 1.4115, 1.4115, 1.4115, 1.4115, 1.4115, 1.4115]","[0.1901, 0.1901, 0.1901, 0.1901, 0.1901, 0.2843, 0.2843, 0.2843, 0.2843, 0.2843, 0.2978, 0.2978, 0.2978, 0.2978, 0.2978, 0.3137, 0.3137, 0.406, 0.461, 0.461, 0.4835, 0.4835, 0.4835, 0.4835, 0.4835, 0.4835, 0.4835, 0.4835, 0.4835, 0.5038, 0.5038, 0.5038, 0.5038, 0.5056, 0.5645, 0.6133, 0.6133, 0.6147, 0.6166, 0.6166, 0.6539, 0.6539, 0.6539, 0.6539, 0.6539, 0.6903, 0.71, 0.71, 0.7233, 0.7233, 0.7233, 0.7487, 0.7487, 0.7487, 0.7487, 0.7487, 0.7487, 0.7487, 0.7487, 0.7487, 0.7487, 0.7487, 0.7487, 0.7487, 0.7487, 0.7487, 0.7487]","[-0.0399, -0.0539, -0.015, -0.0274, -0.1061, -0.1231, -0.0829, -0.1391, -0.1769, -0.1111, -0.1908, -0.1482, -0.1765, -0.2497, -0.2073, -0.2089, -0.2687, -0.2663, -0.2387, -0.3201, -0.2777, -0.3085, -0.3177, -0.3369, -0.3557, -0.3901, -0.4089, -0.4249, -0.4285, -0.4245, -0.5038, -0.4896, -0.5085, -0.5337, -0.5454, -0.5192, -0.5262, -0.5314, -0.6233, -0.6272, -0.6419, -0.651, -0.6334, -0.6536, -0.6567, -0.7016, -0.6784, -0.7167, -0.7098, -0.7689, -0.7546, -0.7725, -0.7964, -0.8057, -0.8358, -0.8154, -0.8842, -0.8429, -0.8971, -0.8505, -0.879, -0.9381, -0.9189, -0.9181, -0.9941, -0.9562, -0.9983]","[0.9742, 0.9321, 0.9452, 0.8964, 1.0071]","[0.0735, 0.1401, 0.1463, 0.1936, 0.2025]","[-1.167, -0.9033, -1.0585, -1.0474, -1.0744]"
