netPnL,closeTime,openTime,tradeId,ticker,direction,setup,rMultiple,quantity,riskAmount,mae_r,mfe_r,mae_points,mfe_points,highestPrice,lowestPrice,plannedRR,entryPrice,exitPrice,stopLoss,takeProfit,commission_at_entry,spread_pips_at_entry,pip_value_at_entry,closeType,durationMinutes,status
34.68,2024-05-02T17:22:00.000Z,2024-05-02T15:00:00.000Z,22011,EURUSD,LONG,London Open Liquidity Scalp,0.6435,0.33,53.89,-0.3578,0.8261,1.09853,1.10045,1.10155,1.09853,1.5,1.09911,1.10155,1.09749,1.10155,3.0,0.8,10.0,TP,142,closed
-41.35,2024-02-14T18:27:00.000Z,2024-02-14T14:44:00.000Z,22012,USDJPY,LONG,London Open Liquidity Scalp,-0.9232,0.23,44.79,-1.831,0.0989,146.43,146.837,146.837,146.43,1.5,146.816,146.621,146.605,147.132,3.0,0.9,9.2,MANUAL,223,closed
28.88,2025-06-09T11:29:00.000Z,2025-06-09T07:05:00.000Z,22013,EURUSD,LONG,London Open Liquidity Scalp,0.5717,0.34,50.52,-0.7502,1.3517,1.0784,1.08151,1.08173,1.0784,1.5,1.07951,1.08173,1.07803,1.08173,3.0,0.8,10.0,TP,264,closed
133.43,2024-02-27T10:51:00.000Z,2024-02-27T09:37:00.000Z,22014,XAUUSD,LONG,London Open Liquidity Scalp,2.8132,2.22,47.43,-0.0,3.426,2083.854,2084.585,2084.585,2083.854,3.0,2083.854,2084.454,2083.641,2084.494,4.0,2.5,1.0,Trailing SL,74,closed
-33.89,2025-08-07T11:06:00.000Z,2025-08-07T08:20:00.000Z,22015,XAUUSD,SHORT,London Open Liquidity Scalp,-0.8156,1.81,41.55,-0.0835,1.4309,2065.301,2064.954,2065.469,2064.954,2.5,2065.282,2065.469,2065.511,2064.708,4.0,2.5,1.0,MANUAL,166,closed
-42.9,2025-12-08T11:36:00.000Z,2025-12-08T07:19:00.000Z,22016,NQ,LONG,London Open Liquidity Scalp,-0.9766,0.32,43.93,-1.1147,0.4164,18628.56887,18639.1756,18639.1756,18628.56887,3.0,18636.29098,18629.52624,18629.36345,18657.07356,4.5,0.75,5.0,STOP_OUT,257,closed
-53.93,2025-11-26T13:28:00.000Z,2025-11-26T09:22:00.000Z,22017,XAUUSD,SHORT,London Open Liquidity Scalp,-0.9809,4.52,54.98,-0.0438,2.1032,2047.953,2047.692,2048.067,2047.692,2.5,2047.948,2048.067,2048.07,2047.644,4.0,2.5,1.0,MANUAL,246,closed
-35.85,2023-12-26T15:33:00.000Z,2023-12-26T10:41:00.000Z,22018,NQ,SHORT,London Open Liquidity Scalp,-0.7018,0.41,51.08,-0.3088,1.4831,18369.86781,18358.59782,18374.21505,18358.59782,2.5,18367.92564,18374.21505,18374.21505,18352.20212,4.5,0.75,5.0,SL,292,closed
60.57,2024-11-24T16:02:00.000Z,2024-11-24T14:52:00.000Z,22019,EURUSD,SHORT,London Open Liquidity Scalp,1.3481,0.19,44.93,-2.0435,0.0,1.10063,1.09588,1.10063,1.09275,2.0,1.09588,1.09275,1.0982,1.09123,3.0,0.8,10.0,MANUAL,70,closed
-36.41,2025-07-16T16:57:00.000Z,2025-07-16T10:44:00.000Z,22020,NQ,LONG,London Open Liquidity Scalp,-0.7089,0.43,51.36,-1.7453,0.949,18318.44859,18334.59586,18334.59586,18318.44859,2.0,18328.90839,18322.91527,18322.91527,18340.89464,4.5,0.75,5.0,SL,373,closed
-26.08,2025-12-11T15:54:00.000Z,2025-12-11T09:50:00.000Z,22021,EURUSD,SHORT,London Open Liquidity Scalp,-0.63,0.18,41.4,-0.3418,0.8213,1.10497,1.10222,1.10652,1.10222,3.0,1.10416,1.10652,1.10652,1.09709,3.0,0.8,10.0,SL,364,closed
77.92,2025-07-17T13:57:00.000Z,2025-07-17T08:29:00.000Z,22022,GBPUSD,SHORT,London Open Liquidity Scalp,1.6797,0.2,46.39,-1.9823,0.0,1.28041,1.27583,1.28041,1.27195,2.5,1.27583,1.27195,1.27814,1.27005,3.5,1.2,10.0,Trailing SL,328,closed
-47.27,2024-01-02T11:11:00.000Z,2024-01-02T09:34:00.000Z,22023,XAUUSD,SHORT,London Open Liquidity Scalp,-0.884,2.3,53.47,-0.0,1.7936,2082.437,2082.021,2082.669,2082.021,1.5,2082.437,2082.669,2082.669,2082.089,4.0,2.5,1.0,SL,97,closed
76.01,2025-12-08T19:15:00.000Z,2025-12-08T15:25:00.000Z,22024,GBPUSD,LONG,London Open Liquidity Scalp,1.7788,0.35,42.73,-0.052,1.8597,1.23445,1.23678,1.23756,1.23445,2.5,1.23451,1.23756,1.23329,1.23756,3.5,1.2,10.0,TP,230,closed
-48.15,2024-03-17T08:38:00.000Z,2024-03-17T07:13:00.000Z,22025,EURUSD,SHORT,London Open Liquidity Scalp,-0.9757,0.3,49.35,-0.0,1.2601,1.08287,1.08083,1.08449,1.08083,1.5,1.08287,1.08449,1.08449,1.08044,3.0,0.8,10.0,SL,85,closed
45.47,2024-02-17T14:33:00.000Z,2024-02-17T14:02:00.000Z,22026,XAUUSD,LONG,London Open Liquidity Scalp,1.0075,1.7,45.13,-0.0,1.9866,2055.287,2055.816,2055.819,2055.287,2.0,2055.287,2055.819,2055.021,2055.819,4.0,2.5,1.0,TP,31,closed
-29.72,2025-07-27T09:41:00.000Z,2025-07-27T08:12:00.000Z,22027,NQ,LONG,London Open Liquidity Scalp,-0.5426,0.6,54.77,-0.6415,0.864,18887.72858,18894.65486,18894.65486,18887.72858,3.0,18890.6799,18888.18377,18886.07925,18904.48185,4.5,0.75,5.0,MANUAL,89,closed
116.8,2025-05-05T14:12:00.000Z,2025-05-05T08:15:00.000Z,22028,EURUSD,SHORT,London Open Liquidity Scalp,2.3769,0.28,49.14,-2.4679,0.0,1.08015,1.07582,1.08015,1.07165,3.0,1.07582,1.07165,1.07757,1.07056,3.0,0.8,10.0,Trailing SL,357,closed
-3.41,2025-01-15T08:44:00.000Z,2025-01-15T07:10:00.000Z,22029,EURUSD,SHORT,London Open Liquidity Scalp,-0.0648,0.36,52.61,-0.8956,1.2691,1.05917,1.05605,1.05917,1.05605,1.5,1.05788,1.05778,1.05932,1.05571,3.0,0.8,10.0,BE,94,closed
114.0,2023-12-29T11:57:00.000Z,2023-12-29T09:28:00.000Z,22030,XAUUSD,SHORT,London Open Liquidity Scalp,2.0883,3.74,54.59,-3.0263,0.0,2033.731,2033.289,2033.731,2032.984,3.0,2033.289,2032.984,2033.435,2032.851,4.0,2.5,1.0,Trailing SL,149,closed
-1.52,2025-04-01T12:50:00.000Z,2025-04-01T10:07:00.000Z,22031,EURUSD,LONG,London Open Liquidity Scalp,-0.0339,0.18,44.83,-0.4392,0.5343,1.07343,1.07587,1.07587,1.07343,2.0,1.07453,1.07453,1.07203,1.07954,3.0,0.8,10.0,BE,163,closed
52.6,2025-11-03T14:18:00.000Z,2025-11-03T09:44:00.000Z,22032,USDJPY,LONG,London Open Liquidity Scalp,1.0579,0.23,49.72,-0.2228,1.9693,151.197,151.718,151.718,151.197,1.5,151.25,151.606,151.013,151.606,3.0,0.9,9.2,TP,274,closed
-27.24,2024-09-09T17:26:00.000Z,2024-09-09T14:09:00.000Z,22033,NQ,LONG,London Open Liquidity Scalp,-0.5457,0.67,49.92,-0.8702,0.7346,18092.72989,18098.7118,18098.7118,18092.72989,1.5,18095.97357,18093.93964,18092.24606,18101.56484,4.5,0.75,5.0,MANUAL,197,closed
-27.52,2024-12-24T14:55:00.000Z,2024-12-24T13:07:00.000Z,22034,XAUUSD,LONG,London Open Liquidity Scalp,-0.5478,1.83,50.24,-0.6349,0.1195,2047.22,2047.428,2047.428,2047.12,2.0,2047.395,2047.12,2047.12,2047.945,4.0,2.5,1.0,SL,108,closed
69.81,2024-07-09T08:34:00.000Z,2024-07-09T08:12:00.000Z,22035,EURUSD,SHORT,London Open Liquidity Scalp,1.4072,0.35,49.61,-1.4834,0.0214,1.07674,1.0746,1.07674,1.0725,1.5,1.07463,1.0725,1.07605,1.0725,3.0,0.8,10.0,TP,22,closed
106.64,2024-02-11T14:14:00.000Z,2024-02-11T07:19:00.000Z,22036,EURUSD,SHORT,London Open Liquidity Scalp,2.0297,0.28,52.54,-2.6832,0.0,1.07889,1.07382,1.07889,1.0691,2.5,1.07382,1.0691,1.07571,1.0691,3.0,0.8,10.0,TP,415,closed
-0.63,2025-08-13T14:39:00.000Z,2025-08-13T08:48:00.000Z,22037,EURUSD,SHORT,London Open Liquidity Scalp,-0.0138,0.19,45.66,-0.5871,0.3257,1.07127,1.06909,1.07127,1.06909,2.0,1.06987,1.06977,1.07226,1.06509,3.0,0.8,10.0,BE,351,closed
0.01,2024-10-18T21:42:00.000Z,2024-10-18T15:27:00.000Z,22038,USDJPY,LONG,London Open Liquidity Scalp,0.0002,0.17,44.59,-1.0118,1.0167,149.86,150.425,150.425,149.86,2.5,150.142,150.142,149.864,150.838,3.0,0.9,9.2,BE,375,closed
-35.92,2024-11-22T08:54:00.000Z,2024-11-22T07:22:00.000Z,22039,GBPUSD,LONG,London Open Liquidity Scalp,-0.8573,0.29,41.9,-2.0375,0.2846,1.28964,1.29299,1.29299,1.28964,2.5,1.29258,1.29114,1.29114,1.29619,3.5,1.2,10.0,SL,92,closed
48.43,2024-08-21T13:18:00.000Z,2024-08-21T09:42:00.000Z,22040,NQ,LONG,London Open Liquidity Scalp,1.1553,0.31,41.92,-0.1891,2.0509,18731.69748,18746.80115,18746.80115,18731.69748,1.5,18732.97253,18743.08659,18726.22982,18743.08659,4.5,0.75,5.0,TP,216,closed
35.01,2025-03-03T13:32:00.000Z,2025-03-03T07:57:00.000Z,22041,EURUSD,LONG,London Open Liquidity Scalp,0.8056,0.21,43.46,-0.2846,1.7945,1.06856,1.07287,1.07287,1.06856,2.5,1.06915,1.07082,1.06708,1.07433,3.0,0.8,10.0,Trailing SL,335,closed
24.94,2025-07-21T20:26:00.000Z,2025-07-21T15:34:00.000Z,22042,XAUUSD,SHORT,London Open Liquidity Scalp,0.4929,2.9,50.6,-1.6235,0.5755,2076.61,2076.225,2076.61,2075.802,3.0,2076.326,2075.802,2076.501,2075.802,4.0,2.5,1.0,TP,292,closed
34.84,2024-08-12T11:53:00.000Z,2024-08-12T07:50:00.000Z,22043,XAUUSD,SHORT,London Open Liquidity Scalp,0.7535,1.71,46.24,-1.5705,0.2025,1996.496,1996.016,1996.496,1995.395,2.5,1996.071,1995.395,1996.341,1995.395,4.0,2.5,1.0,TP,243,closed
60.17,2025-05-29T20:37:00.000Z,2025-05-29T13:52:00.000Z,22044,EURUSD,LONG,London Open Liquidity Scalp,1.4336,0.17,41.97,-0.3505,2.2785,1.09936,1.10571,1.10571,1.09936,2.5,1.10021,1.10367,1.09779,1.10625,3.0,0.8,10.0,Trailing SL,405,closed
59.35,2024-09-03T13:58:00.000Z,2024-09-03T07:22:00.000Z,22045,EURUSD,SHORT,London Open Liquidity Scalp,1.2976,0.19,45.74,-2.3109,0.0,1.06506,1.05954,1.06506,1.05644,1.5,1.05954,1.05644,1.06193,1.05596,3.0,0.8,10.0,Trailing SL,396,closed
41.69,2025-10-12T19:00:00.000Z,2025-10-12T15:37:00.000Z,22046,NQ,LONG,London Open Liquidity Scalp,1.008,0.31,41.36,-0.0,1.8867,18624.66508,18637.19265,18637.19265,18624.66508,2.0,18624.66508,18631.35751,18618.02514,18637.94496,4.5,0.75,5.0,Trailing SL,203,closed
3.11,2025-08-02T17:25:00.000Z,2025-08-02T13:42:00.000Z,22047,XAUUSD,SHORT,London Open Liquidity Scalp,0.0774,1.94,40.16,-0.3913,0.8791,2033.073,2032.81,2033.073,2032.81,1.5,2032.992,2032.992,2033.199,2032.682,4.0,2.5,1.0,BE,223,closed
-42.24,2025-11-11T13:33:00.000Z,2025-11-11T10:11:00.000Z,22048,GBPUSD,LONG,London Open Liquidity Scalp,-0.7686,0.28,54.96,-1.4568,0.0,1.28903,1.29191,1.29191,1.28903,1.5,1.29191,1.28993,1.28993,1.29487,3.5,1.2,10.0,SL,202,closed
-39.23,2025-04-10T18:04:00.000Z,2025-04-10T13:23:00.000Z,22049,GBPUSD,LONG,London Open Liquidity Scalp,-0.9261,0.33,42.36,-1.6723,0.2426,1.2871,1.28953,1.28953,1.2871,3.0,1.28922,1.28805,1.28795,1.29302,3.5,1.2,10.0,STOP_OUT,281,closed
27.84,2024-12-19T11:22:00.000Z,2024-12-19T07:51:00.000Z,22050,XAUUSD,SHORT,London Open Liquidity Scalp,0.6061,2.94,45.93,-1.233,0.1439,2032.112,2031.897,2032.112,2031.529,2.5,2031.919,2031.529,2032.075,2031.529,4.0,2.5,1.0,TP,211,closed
21.92,2025-06-21T11:54:00.000Z,2025-06-21T09:11:00.000Z,22051,EURUSD,SHORT,London Open Liquidity Scalp,0.4535,0.34,48.33,-1.4347,0.5776,1.09317,1.09032,1.09317,1.08831,2.0,1.09114,1.08831,1.09256,1.08831,3.0,0.8,10.0,TP,163,closed
-29.91,2025-05-28T09:54:00.000Z,2025-05-28T08:45:00.000Z,22052,GBPUSD,SHORT,London Open Liquidity Scalp,-0.5933,0.34,50.41,-0.1285,0.6918,1.27173,1.27051,1.27242,1.27051,2.0,1.27154,1.27242,1.27302,1.26857,3.5,1.2,10.0,MANUAL,69,closed
-27.27,2024-02-01T08:56:00.000Z,2024-02-01T08:05:00.000Z,22053,XAUUSD,SHORT,London Open Liquidity Scalp,-0.6603,1.73,41.3,-0.4569,1.7907,2080.571,2080.034,2080.62,2080.034,2.0,2080.462,2080.62,2080.701,2079.983,4.0,2.5,1.0,MANUAL,51,closed
54.63,2024-09-14T10:29:00.000Z,2024-09-14T09:08:00.000Z,22054,EURUSD,SHORT,London Open Liquidity Scalp,1.0149,0.28,53.83,-1.0286,0.0,1.06937,1.06741,1.06937,1.06168,3.0,1.06741,1.06168,1.06932,1.06168,3.0,0.8,10.0,TP,81,closed
2.34,2024-08-10T13:59:00.000Z,2024-08-10T10:03:00.000Z,22055,GBPUSD,SHORT,London Open Liquidity Scalp,0.055,0.26,42.51,-0.9003,0.8802,1.29692,1.29398,1.29692,1.29398,1.5,1.29543,1.29543,1.29708,1.29295,3.5,1.2,10.0,BE,236,closed
-35.26,2024-08-20T20:56:00.000Z,2024-08-20T15:21:00.000Z,22056,GBPUSD,SHORT,London Open Liquidity Scalp,-0.785,0.22,44.92,-0.2321,1.9147,1.26868,1.26436,1.26979,1.26436,1.5,1.26821,1.26979,1.27022,1.2652,3.5,1.2,10.0,MANUAL,335,closed
37.54,2024-06-07T19:47:00.000Z,2024-06-07T13:44:00.000Z,22057,USDJPY,LONG,London Open Liquidity Scalp,0.8326,0.31,45.09,-0.2765,1.849,149.579,149.911,149.911,149.579,3.0,149.622,149.752,149.466,150.091,3.0,0.9,9.2,Trailing SL,363,closed
-2.58,2024-01-27T11:52:00.000Z,2024-01-27T08:14:00.000Z,22058,NQ,SHORT,London Open Liquidity Scalp,-0.0539,0.35,47.87,-0.9503,0.3004,18092.20866,18083.61338,18092.20866,18083.61338,3.0,18085.67784,18085.42784,18092.55021,18065.06072,4.5,0.75,5.0,BE,218,closed
-33.26,2025-05-25T15:43:00.000Z,2025-05-25T10:45:00.000Z,22059,USDJPY,LONG,London Open Liquidity Scalp,-0.6532,0.2,50.92,-1.1443,0.1866,147.554,147.917,147.917,147.554,1.5,147.866,147.594,147.594,148.274,3.0,0.9,9.2,SL,298,closed
79.51,2025-08-04T18:51:00.000Z,2025-08-04T15:54:00.000Z,22060,GBPUSD,LONG,London Open Liquidity Scalp,1.5179,0.22,52.38,-0.0,2.4667,1.28237,1.2882,1.2882,1.28237,1.5,1.28237,1.28596,1.28,1.28592,3.5,1.2,10.0,MANUAL,177,closed
60.41,2024-06-03T17:08:00.000Z,2024-06-03T13:11:00.000Z,22061,NQ,SHORT,London Open Liquidity Scalp,1.2983,0.6,46.53,-1.7144,0.0,18333.47063,18326.86968,18333.47063,18321.87108,2.5,18326.86968,18321.87108,18330.71997,18317.24394,4.5,0.75,5.0,Trailing SL,237,closed
73.23,2025-06-12T15:11:00.000Z,2025-06-12T09:37:00.000Z,22062,GBPUSD,SHORT,London Open Liquidity Scalp,1.7586,0.21,41.64,-2.8135,0.1382,1.28325,1.27735,1.28325,1.27363,2.0,1.27763,1.27363,1.27963,1.27363,3.5,1.2,10.0,TP,334,closed
-25.91,2024-03-21T15:11:00.000Z,2024-03-21T10:17:00.000Z,22063,USDJPY,LONG,London Open Liquidity Scalp,-0.6172,0.18,41.98,-1.3956,0.557,147.142,147.647,147.647,147.142,1.5,147.503,147.245,147.245,147.891,3.0,0.9,9.2,SL,294,closed
0.15,2024-05-25T14:19:00.000Z,2024-05-25T08:37:00.000Z,22064,XAUUSD,SHORT,London Open Liquidity Scalp,0.003,2.87,50.68,-1.2827,1.1337,2039.765,2039.338,2039.765,2039.338,2.5,2039.538,2039.538,2039.715,2039.096,4.0,2.5,1.0,BE,342,closed
-18.46,2024-01-21T21:32:00.000Z,2024-01-21T14:36:00.000Z,22065,XAUUSD,LONG,London Open Liquidity Scalp,-0.4108,1.63,44.94,-1.536,0.2794,2045.791,2046.292,2046.292,2045.791,2.5,2046.215,2046.102,2045.939,2046.905,4.0,2.5,1.0,STOP_OUT,416,closed
-22.61,2025-10-13T17:59:00.000Z,2025-10-13T15:57:00.000Z,22066,USDJPY,SHORT,London Open Liquidity Scalp,-0.4166,0.29,54.27,-0.8089,1.4776,145.936,145.473,145.936,145.473,1.5,145.772,145.856,145.974,145.468,3.0,0.9,9.2,MANUAL,122,closed
75.87,2024-05-30T18:38:00.000Z,2024-05-30T13:18:00.000Z,22067,NQ,SHORT,London Open Liquidity Scalp,1.8637,0.34,40.71,-1.9695,0.0,18492.82579,18480.97882,18492.82579,18469.76898,2.5,18480.97882,18469.76898,18486.99404,18465.94078,4.5,0.75,5.0,Trailing SL,320,closed
62.65,2025-03-20T14:51:00.000Z,2025-03-20T08:02:00.000Z,22068,EURUSD,LONG,London Open Liquidity Scalp,1.5067,0.17,41.58,-0.0,2.2025,1.09675,1.10219,1.10219,1.09675,2.5,1.09675,1.10047,1.09428,1.10293,3.0,0.8,10.0,MANUAL,409,closed
-30.08,2025-06-20T20:29:00.000Z,2025-06-20T15:14:00.000Z,22069,GBPUSD,SHORT,London Open Liquidity Scalp,-0.6692,0.3,44.95,-0.1959,1.1786,1.25358,1.25154,1.25429,1.25154,1.5,1.25329,1.25429,1.25478,1.25106,3.5,1.2,10.0,MANUAL,315,closed
94.83,2025-05-24T17:37:00.000Z,2025-05-24T14:42:00.000Z,22070,EURUSD,SHORT,London Open Liquidity Scalp,1.9333,0.18,49.05,-3.3499,0.0976,1.07524,1.06569,1.07524,1.06061,2.5,1.06596,1.06061,1.06873,1.05904,3.0,0.8,10.0,MANUAL,175,closed
65.81,2024-10-27T17:26:00.000Z,2024-10-27T14:04:00.000Z,22071,GBPUSD,SHORT,London Open Liquidity Scalp,1.2207,0.31,53.91,-1.2585,0.0564,1.24607,1.2438,1.24607,1.2418,2.5,1.2439,1.2418,1.24562,1.23959,3.5,1.2,10.0,MANUAL,202,closed
34.38,2025-06-29T18:20:00.000Z,2025-06-29T13:59:00.000Z,22072,USDJPY,LONG,London Open Liquidity Scalp,0.7318,0.2,46.98,-0.1733,1.0384,148.332,148.645,148.893,148.332,2.0,148.377,148.893,148.119,148.893,3.0,0.9,9.2,TP,261,closed
70.72,2024-06-03T13:49:00.000Z,2024-06-03T07:28:00.000Z,22073,EURUSD,SHORT,London Open Liquidity Scalp,1.6601,0.33,42.6,-2.5972,0.0,1.09182,1.08849,1.09182,1.08593,2.0,1.08849,1.08593,1.08977,1.08593,3.0,0.8,10.0,TP,381,closed
-3.73,2024-07-18T12:26:00.000Z,2024-07-18T08:14:00.000Z,22074,XAUUSD,SHORT,London Open Liquidity Scalp,-0.0704,2.07,53.0,-1.0127,0.7703,2074.167,2073.711,2074.167,2073.711,2.0,2073.908,2073.898,2074.164,2073.396,4.0,2.5,1.0,BE,252,closed
-39.06,2024-03-19T14:46:00.000Z,2024-03-19T08:31:00.000Z,22075,GBPUSD,LONG,London Open Liquidity Scalp,-0.8823,0.23,44.27,-2.0778,0.3183,1.27423,1.27881,1.27881,1.27423,2.0,1.2782,1.27629,1.27629,1.28202,3.5,1.2,10.0,SL,375,closed
-39.32,2025-10-18T10:54:00.000Z,2025-10-18T10:06:00.000Z,22076,EURUSD,LONG,London Open Liquidity Scalp,-0.844,0.24,46.59,-1.0145,0.2982,1.09575,1.09828,1.09828,1.09575,3.0,1.09771,1.09608,1.09578,1.10349,3.0,0.8,10.0,MANUAL,48,closed
129.46,2024-04-04T16:52:00.000Z,2024-04-04T15:21:00.000Z,22077,NQ,SHORT,London Open Liquidity Scalp,2.9409,0.46,44.02,-3.7663,0.0,18327.11255,18309.13914,18327.11255,18294.82264,3.0,18309.13914,18294.82264,18313.91131,18294.82264,4.5,0.75,5.0,TP,91,closed
22.4,2025-03-11T17:45:00.000Z,2025-03-11T14:15:00.000Z,22078,EURUSD,LONG,London Open Liquidity Scalp,0.5562,0.19,40.27,-0.4299,1.1874,1.08306,1.08648,1.08648,1.08306,3.0,1.08397,1.08514,1.08186,1.0903,3.0,0.8,10.0,MANUAL,210,closed
-37.7,2023-12-16T13:13:00.000Z,2023-12-16T07:28:00.000Z,22079,EURUSD,LONG,London Open Liquidity Scalp,-0.7644,0.18,49.32,-1.462,0.6942,1.05791,1.06378,1.06378,1.05791,2.0,1.06189,1.05981,1.05917,1.06734,3.0,0.8,10.0,STOP_OUT,345,closed
40.74,2024-09-09T18:26:00.000Z,2024-09-09T14:19:00.000Z,22080,NQ,SHORT,London Open Liquidity Scalp,0.9479,0.33,42.98,-1.7744,0.0561,18280.9778,18268.94986,18280.9778,18263.08955,2.0,18269.31848,18263.08955,18275.88933,18256.17678,4.5,0.75,5.0,MANUAL,247,closed
81.08,2024-04-04T13:43:00.000Z,2024-04-04T07:34:00.000Z,22081,EURUSD,SHORT,London Open Liquidity Scalp,1.5221,0.31,53.27,-2.5215,0.0,1.08983,1.08544,1.08983,1.08283,1.5,1.08544,1.08283,1.08718,1.08283,3.0,0.8,10.0,TP,369,closed
-39.59,2025-10-06T16:47:00.000Z,2025-10-06T15:23:00.000Z,22082,NQ,LONG,London Open Liquidity Scalp,-0.7236,0.43,54.71,-0.9731,0.0,18324.60725,18330.75216,18330.75216,18324.43738,3.0,18330.75216,18324.43738,18324.43738,18349.6965,4.5,0.75,5.0,SL,84,closed
81.61,2024-09-17T12:41:00.000Z,2024-09-17T09:25:00.000Z,22083,NQ,SHORT,London Open Liquidity Scalp,1.6355,0.65,49.9,-2.4201,0.0,18146.50462,18137.27592,18146.50462,18131.03955,2.5,18137.27592,18131.03955,18141.08927,18127.74254,4.5,0.75,5.0,Trailing SL,196,closed
42.02,2024-02-09T08:00:00.000Z,2024-02-09T07:01:00.000Z,22084,GBPUSD,SHORT,London Open Liquidity Scalp,0.9081,0.18,46.27,-1.0897,0.2325,1.28086,1.27743,1.28086,1.27153,2.5,1.27803,1.27153,1.28063,1.27153,3.5,1.2,10.0,TP,59,closed
-38.58,2024-05-22T13:19:00.000Z,2024-05-22T08:36:00.000Z,22085,XAUUSD,SHORT,London Open Liquidity Scalp,-0.8592,2.46,44.9,-0.0,1.8363,2051.581,2051.246,2051.763,2051.246,1.5,2051.581,2051.763,2051.763,2051.308,4.0,2.5,1.0,SL,283,closed
76.39,2025-06-02T13:14:00.000Z,2025-06-02T09:43:00.000Z,22086,XAUUSD,SHORT,London Open Liquidity Scalp,1.8686,2.54,40.88,-2.2598,0.0,2079.166,2078.803,2079.166,2078.482,2.0,2078.803,2078.482,2078.964,2078.482,4.0,2.5,1.0,TP,211,closed
-18.26,2025-05-14T13:00:00.000Z,2025-05-14T10:20:00.000Z,22087,XAUUSD,SHORT,London Open Liquidity Scalp,-0.3716,1.89,49.14,-0.5346,0.4685,1987.217,1986.956,1987.217,1986.956,2.5,1987.078,1987.174,1987.337,1986.43,4.0,2.5,1.0,MANUAL,160,closed
17.26,2025-04-06T15:38:00.000Z,2025-04-06T09:13:00.000Z,22088,GBPUSD,LONG,London Open Liquidity Scalp,0.4013,0.18,43.01,-0.3145,1.0545,1.28874,1.29209,1.29318,1.28874,1.5,1.28951,1.29318,1.28706,1.29318,3.5,1.2,10.0,TP,385,closed
