bug_ref,ticket_ref,cluster,symptom_family,rc_guess,status,tester_quote,notes
TAL-00831#1,TAL-00831,chart_core_ui,stuck-until-click,RC-2,resolved,"Margin field stuck at 1000.00% regardless of leverage setting — confirmed unchanged across 1:100, 1:500, and 1:50 (other fields like P&L and ratio update correctly, isolating the issue to this one field).",auto-split: one bug per short thread
TAL-00832#1,TAL-00832,chart_core_ui,slow-interaction,RC-1,resolved,"After changing 3 settings and refreshing the browser, settings revert to previous/default values instead of persisting — fails to restore the user's selected configuration on reload. test ID : P3-0050",auto-split: one bug per short thread
TAL-00833#1,TAL-00833,chart_core_ui,slow-interaction,RC-1,resolved,can't edit shorcuts,auto-split: one bug per short thread
TAL-00834#1,TAL-00834,chart_core_ui,stuck-until-click,RC-2,user_replied,لما اضغط عليها اول مرة بتكون صح لكن لما اضغط تاني لازم توديني على اليوم التاني مش يمشي شمعة شمعة مثلا ضغطت على لندن مرتين ورا بعض بيصير يمشي شمعة شمعة,auto-split: one bug per short thread
TAL-00836#1,TAL-00836,chart_core_ui,label-mis-anchor,RC-3,user_replied,"When I press Ctrl, it returns to its previous location.",auto-split: one bug per short thread
TAL-00837#1,TAL-00837,chart_core_ui,stuck-until-click,RC-2,resolved,"When I click on any box, the checkmark remains stuck on it despite my repeated clicks.",auto-split: one bug per short thread
TAL-00838#1,TAL-00838,chart_core_ui,stuck-until-click,RC-2,resolved,"When I click on any box, the checkmark remains stuck on it despite my repeated clicks.",auto-split: one bug per short thread
TAL-00841#1,TAL-00841,chart_core_ui,label-mis-anchor,RC-3,user_replied,لما تمسك اي اداة من الطرف وتحركها رح يضل ليبل السعر على نفس المكان,auto-split: one bug per short thread
TAL-00842#1,TAL-00842,chart_core_ui,slow-interaction,RC-1,resolved,not works from one click make it better,auto-split: one bug per short thread
TAL-00848#1,TAL-00848,chart_core_ui,slow-interaction,RC-1,resolved,Chart clipping is not applied consistently across all timeframes When the chart is cropped and the timeframe is switched the chart reverts back to its original state,auto-split: one bug per short thread
TAL-00850#1,TAL-00850,chart_core_ui,quick-menu-defect,RC-1,resolved,"Removing items from the object tree does not function correctly for all tools, and some tools are not deleted as expected",auto-split: one bug per short thread
TAL-00860#1,TAL-00860,chart_core_ui,label-mis-anchor,RC-3,resolved,The price label color is linked to the border color and cannot be modified independently,auto-split: one bug per short thread
TAL-00881#1,TAL-00881,chart_core_ui,quick-menu-defect,RC-1,resolved,"When a template is saved for one tool, it incorrectly appears in other tools as well When a template is saved from the main menu, it does not show up in the quick menu Templates saved from the tool's main menu persist after a page refresh. ",auto-split: one bug per short thread
TAL-00883#1,TAL-00883,chart_core_ui,slow-interaction,RC-1,resolved,النقطة الرابعى بتختفي لما احرك الاداة وبعدها ترجع,auto-split: one bug per short thread
TAL-00885#1,TAL-00885,chart_core_ui,slow-interaction,RC-1,user_replied,ما بقدر احط ارقام واعدل عليها لانها بالعربي خليهم انجليزي,auto-split: one bug per short thread
TAL-00886#1,TAL-00886,chart_core_ui,indicator-lifecycle,RC-6,user_replied,Rename drawing in settings or tree. Custom name shows in Objects Tree. fail not work,auto-split: one bug per short thread
TAL-00888#1,TAL-00888,chart_core_ui,order-entry,RC-5,resolved,The indicator disappears when zooming out in some cases when switching timeframes Move the SMA-based ma from the input menu to the style menu remove line dash option from input menu,auto-split: one bug per short thread
TAL-00890#1,TAL-00890,chart_core_ui,drag-mis-anchor,RC-3,resolved,Whenever I move the chart forward it disappears under the marked point,auto-split: one bug per short thread
TAL-00891#1,TAL-00891,chart_core_ui,order-entry,RC-5,resolved,The indicator disappears when zooming out in some cases when switching timeframes Move the EMA-based ma from the input menu to the style menu remove line dash option,auto-split: one bug per short thread
TAL-00892#1,TAL-00892,chart_core_ui,order-entry,RC-5,resolved,The indicator disappears when zooming out in some cases when switching timeframes,auto-split: one bug per short thread
TAL-00902#1,TAL-00902,chart_core_ui,indicator-lifecycle,RC-6,resolved,The indicator disappears when zooming out Please add the RSI-based ma to the Style menu so it can be controlled from the Smoothing menu and remove the RSI-based MA line dash option,auto-split: one bug per short thread
TAL-00909#1,TAL-00909,chart_core_ui,slow-interaction,RC-1,resolved,هدول العامودين مربوطين ببعض,auto-split: one bug per short thread
TAL-00911#1,TAL-00911,chart_core_ui,label-mis-anchor,RC-3,resolved,لما يكون الوثت بيتحرك بالثواني خليه يتحرك من عند الساعة كمان بيكون احلا واحسن 2- لما اشغل ريبلاي عن طريق التيك باي تيك بيتغير الوقت ويصير بالثواني بس اضغط على الشاشة بيرجع لدقيقة مفروض يضل الوقت زي ما هو,auto-split: one bug per short thread
TAL-00916#1,TAL-00916,chart_core_ui,slow-interaction,RC-1,resolved,Set step TF Auto / 1m / 5m. Step size changes accordingly. not work,auto-split: one bug per short thread
TAL-00918#1,TAL-00918,chart_core_ui,slow-interaction,RC-1,resolved,not work,auto-split: one bug per short thread
TAL-00921#1,TAL-00921,chart_core_ui,slow-interaction,RC-1,resolved,بدها تحسين فيها اخطاء جايبلي زوج ابصر من وين خليه على قد الجلسة اللي فيها بس,auto-split: one bug per short thread
TAL-00922#1,TAL-00922,chart_core_ui,slow-interaction,RC-2,resolved,"30 min: pan, zoom, draw, 5 orders, replay, 3 TF changes. No crash, freeze, or memory leak symptoms. بيصير لاق لما اشغل مهام كثيرة ولما اغير فريم بيتغير التاريخ",auto-split: one bug per short thread
TAL-00924#1,TAL-00924,chart_core_ui,slow-interaction,RC-2,resolved,"When I add more than one chart and place orders, there's a glitch and lag.",auto-split: one bug per short thread
TAL-00954#1,TAL-00954,chart_core_ui,indicator-lifecycle,RC-6,resolved,"When I place the cross on the indicator, the values ​​don't appear.",auto-split: one bug per short thread
TAL-00980#1,TAL-00980,chart_core_ui,slow-interaction,RC-1,resolved,session linked,auto-split: one bug per short thread
TAL-00990#1,TAL-00990,chart_core_ui,indicator-lifecycle,RC-6,resolved,"I am missing alot of Forex symbols, we also should have indices in forex, US100, US500, US30, german dax, Nikki, DAX etc, also bitcoin and Etherium CFDs EURUSD GBPUSD AUDUSD NZDUSD USDCAD USDCHF USDJPY EURJPY GBPJPY AUDJPY NZDJPY CADJPY CHF",auto-split: one bug per short thread
TAL-00991#1,TAL-00991,chart_core_ui,slow-interaction,RC-1,resolved,use the complete list of the futures tickers in this list https://help.myfundedfutures.com/en/articles/9735811-futures-instrument-list,auto-split: one bug per short thread
TAL-00993#1,TAL-00993,chart_core_ui,slow-interaction,RC-1,resolved,"This list changes width when hovering on its rows, it should have fixed dimensions short cuts are totally wrong",auto-split: one bug per short thread
TAL-00994#1,TAL-00994,chart_core_ui,slow-interaction,RC-1,resolved,Percision should always be correct for whatever symbol the user choose,auto-split: one bug per short thread
TAL-00995#1,TAL-00995,chart_core_ui,slow-interaction,RC-1,resolved,Please no glow around the text no info box when hovering this should not take you anywhere when clicking on it,auto-split: one bug per short thread
TAL-01001#1,TAL-01001,chart_core_ui,order-entry,RC-5,user_replied,"When I enter a number in the entry field, let me add a number for the stop loss, target, and exit using the arrow, instead of starting from zero. Let it start from the number in the entry field.",auto-split: one bug per short thread
TAL-01002#1,TAL-01002,chart_core_ui,replay-interaction,RC-8,user_replied,"The strategy filter does not appear in the backtest session; it only appears in live journals, even though a strategy exists in the backtest session.",auto-split: one bug per short thread
TAL-01021#1,TAL-01021,chart_core_ui,order-entry,RC-5,user_replied,There is a big difference between the data in the chart and the trades,auto-split: one bug per short thread
TAL-01022#1,TAL-01022,chart_core_ui,replay-interaction,RC-8,resolved,"When I refresh and select a source like Journal, it takes me back to the first source in the list (backtest).",auto-split: one bug per short thread
TAL-01023#1,TAL-01023,chart_core_ui,slow-interaction,RC-1,resolved,held same for all trades,auto-split: one bug per short thread
TAL-01025#1,TAL-01025,chart_core_ui,slow-interaction,RC-1,resolved,make stop red color target green,auto-split: one bug per short thread
TAL-01028#1,TAL-01028,chart_core_ui,slow-interaction,RC-1,resolved,"When I activiate it and press short, it becomes inactive.",auto-split: one bug per short thread
TAL-01029#1,TAL-01029,chart_core_ui,slow-interaction,RC-1,user_replied,not work yet,auto-split: one bug per short thread
TAL-01030#1,TAL-01030,chart_core_ui,order-entry,RC-5,resolved,Import valid CSV. ما بيظهر الا بعد ما اعمل ريفريش,auto-split: one bug per short thread
TAL-01032#1,TAL-01032,chart_core_ui,slow-interaction,RC-1,user_replied,خلي كل سورس الو id يبدأ من 1,auto-split: one bug per short thread
TAL-01033#1,TAL-01033,chart_core_ui,slow-interaction,RC-1,resolved,ما بقدر افتح الصور,auto-split: one bug per short thread
TAL-01034#1,TAL-01034,chart_core_ui,slow-interaction,RC-1,user_replied,trade take time to appear,auto-split: one bug per short thread
TAL-01035#1,TAL-01035,chart_core_ui,order-entry,RC-5,user_replied,ما بقدر اعدل الصفقة ابدا,auto-split: one bug per short thread
TAL-01036#1,TAL-01036,chart_core_ui,slow-interaction,RC-1,user_replied,بس اغير السورس بيظهر صفقات السورس في سورس تاني,auto-split: one bug per short thread
TAL-01037#1,TAL-01037,chart_core_ui,slow-interaction,RC-1,resolved,لما ادخل صفقة بدون وقت خروج او سعر خروج بيجيبلي ربح 1 خليه صفر,auto-split: one bug per short thread
TAL-01040#1,TAL-01040,chart_core_ui,slow-interaction,RC-1,resolved,"The filter is applied to active sessions, but one of my sessions has recorded profits and losses and is still not appearing in the list. Please review the filtering logic",auto-split: one bug per short thread
TAL-01055#1,TAL-01055,chart_core_ui,slow-interaction,RC-1,resolved,"When clicking to open trade details, it sometimes opens upward instead of opening the trade information downward as expected",auto-split: one bug per short thread
TAL-01056#1,TAL-01056,chart_core_ui,slow-interaction,RC-1,resolved,"If this option is selected and “Go” is pressed, it is applied, but no warning is shown indicating that no session has been selected",auto-split: one bug per short thread
TAL-01057#1,TAL-01057,chart_core_ui,slow-interaction,RC-1,resolved,This error occurred while using the source list,auto-split: one bug per short thread
TAL-01058#1,TAL-01058,chart_core_ui,slow-interaction,RC-1,resolved,"If only one digit is entered in the day or month field, it reverts to the same value. The full value must be entered for it to be accepted. It should be more flexible than this",auto-split: one bug per short thread
TAL-01059#1,TAL-01059,chart_core_ui,slow-interaction,RC-1,resolved,The time in Trade duration setting needs more options and should be made clearer,auto-split: one bug per short thread
TAL-01060#1,TAL-01060,chart_core_ui,slow-interaction,RC-1,resolved,trade scope I cannot select any of the available options,auto-split: one bug per short thread
TAL-01061#1,TAL-01061,chart_core_ui,slow-interaction,RC-1,resolved,This error appears every time I click on the Trade menu.,auto-split: one bug per short thread
TAL-01063#1,TAL-01063,chart_core_ui,slow-interaction,RC-1,user_replied,لا تخلي ايام المستقبل تكون موجودة واقدر احددها بالنسبة للجورنال,auto-split: one bug per short thread
TAL-01066#1,TAL-01066,chart_core_ui,slow-interaction,RC-1,resolved,Why don't we make this menu fixed and have the trades scroll underneath it when scrolling up or down?,auto-split: one bug per short thread
TAL-01067#1,TAL-01067,chart_core_ui,slow-interaction,RC-1,resolved,There are similar options on the same page,auto-split: one bug per short thread
TAL-01068#1,TAL-01068,chart_core_ui,slow-interaction,RC-1,user_replied,"When switching between these options, no change occurs",auto-split: one bug per short thread
TAL-01069#1,TAL-01069,chart_core_ui,slow-interaction,RC-1,resolved,"The menu is supposed to open downward from the button, but sometimes it opens upward instead. It should always open downward from the button in all cases.",auto-split: one bug per short thread
TAL-01070#1,TAL-01070,chart_core_ui,slow-interaction,RC-1,resolved,The animation for opening trade details needs improvement.,auto-split: one bug per short thread
TAL-01071#1,TAL-01071,chart_core_ui,slow-interaction,RC-1,resolved,"QTY HELD NET P&L R PLANNED RR After sorting the behavior for each option should be as follows: first sort from highest to lowest, then from lowest to highest, then return to default.",auto-split: one bug per short thread
TAL-01072#1,TAL-01072,chart_core_ui,stuck-until-click,RC-2,resolved,"After deleting all sessions and refreshing, the trading page gets stuck on loading",auto-split: one bug per short thread
TAL-01073#1,TAL-01073,chart_core_ui,slow-interaction,RC-1,resolved,"When exporting trades and then importing them back, some parameters do not work correctly in the trades after import",auto-split: one bug per short thread
TAL-01074#1,TAL-01074,chart_core_ui,slow-interaction,RC-1,resolved,I cannot select a single number to edit it.,auto-split: one bug per short thread
TAL-01075#1,TAL-01075,chart_core_ui,slow-interaction,RC-1,resolved,This button needs to be more obvious to the user so it is clear that it is editable.,auto-split: one bug per short thread
TAL-01076#1,TAL-01076,chart_core_ui,selection-menu-desync,RC-1,resolved,"When the button is pressed, it should select the item, and when pressed again, it should deselect it",auto-split: one bug per short thread
TAL-01077#1,TAL-01077,chart_core_ui,slow-interaction,RC-1,resolved,"If I export trades and then import the same file, the parameters differ across pages, but the number of trades remains the same on trades page",auto-split: one bug per short thread
TAL-01078#1,TAL-01078,chart_core_ui,slow-interaction,RC-1,resolved,"If I create a new session and import the trades file, some values are displayed incorrectly, and some filters do not work properly or behave inconsistently.",auto-split: one bug per short thread
TAL-01079#1,TAL-01079,chart_core_ui,slow-interaction,RC-1,resolved,"There are two warning messages, one at the top and one at the bottom. The one at the bottom conflicts with the dashboard section at the bottom of the page",auto-split: one bug per short thread
TAL-01080#1,TAL-01080,chart_core_ui,slow-interaction,RC-1,resolved,The 50 MB image has been uploaded successfully,auto-split: one bug per short thread
TAL-01081#1,TAL-01081,chart_core_ui,slow-interaction,RC-1,resolved,"After importing previously exported trades, some fields are empty when opening the trade details",auto-split: one bug per short thread
TAL-01082#1,TAL-01082,chart_core_ui,slow-interaction,RC-1,resolved,"When configuring the trade settings, then navigating to the Tags step and returning, the date becomes incorrect. Leave part of the position open will only be effective when using the journal",auto-split: one bug per short thread
TAL-01083#1,TAL-01083,chart_core_ui,slow-interaction,RC-1,resolved,"This button changes size across the Trades, Sessions, and Strategies lists. It would be better if it had a consistent size across all lists",auto-split: one bug per short thread
TAL-01084#1,TAL-01084,chart_core_ui,slow-interaction,RC-1,resolved,"when I click “Add Trade,” it opens the “Create Journal” screen instead. the Add Trade” and “Import Trade” buttons should be disabled until a journal is created, and only become active afterward",auto-split: one bug per short thread
TAL-01095#1,TAL-01095,chart_core_ui,slow-interaction,RC-1,resolved,"Memory usage is around 800 MB even without using the chart, along with some errors appearing",auto-split: one bug per short thread
TAL-01099#1,TAL-01099,chart_core_ui,slow-interaction,RC-1,resolved,not work,auto-split: one bug per short thread
TAL-01101#1,TAL-01101,chart_core_ui,slow-interaction,RC-1,resolved,لما احط الماوس على الاكس واضغط على Esc بيضل علامة على الاكس بس افتح الاعدادات تاني,auto-split: one bug per short thread
TAL-01102#1,TAL-01102,chart_core_ui,label-mis-anchor,RC-3,resolved,"When I click on the chart, the time label changes.",auto-split: one bug per short thread
TAL-01106#1,TAL-01106,chart_core_ui,selection-menu-desync,RC-1,resolved,"When selecting the EUR pair and then clicking on the GBP pair, the EUR selection gets deselected automatically. I then have to click the GBP pair again to select it. This is incorrect behavior; the selection should switch directly without r",auto-split: one bug per short thread
TAL-01107#1,TAL-01107,chart_core_ui,slow-interaction,RC-1,resolved,"I can’t select numbers to edit them or delete them. When I try to click on a number, it doesn’t let me change or remove it properly. This makes it impossible to edit values normally",auto-split: one bug per short thread
TAL-01108#1,TAL-01108,chart_core_ui,slow-interaction,RC-1,resolved,This list is not working on the Trades page,auto-split: one bug per short thread
TAL-01109#1,TAL-01109,chart_core_ui,slow-interaction,RC-1,user_replied,"If I click “Add Trade” or edit a trade, then press the browser back button, it takes me outside the app to the browser’s default page instead of returning me to the previous page inside the app",auto-split: one bug per short thread
TAL-01127#1,TAL-01127,chart_core_ui,drag-mis-anchor,RC-3,user_replied,There is a lock on the left side of the chart. When I try to move the chart back to the left the Auto Rescale Chart button keeps appearing repeatedly,auto-split: one bug per short thread
TAL-01147#1,TAL-01147,chart_core_ui,slow-interaction,RC-2,resolved,"When switching from a higher timeframe to a lower timeframe and using these tools, the platform freezes",auto-split: one bug per short thread
TAL-01157#1,TAL-01157,chart_core_ui,visibility-toggle,RC-2,resolved,Reminder about the visibility settings,auto-split: one bug per short thread
TAL-01159#1,TAL-01159,chart_core_ui,slow-interaction,RC-1,resolved,resize the screen,auto-split: one bug per short thread
TAL-01186#1,TAL-01186,chart_core_ui,slow-interaction,RC-1,resolved,ما لازم يكون في دقيقة وانا ع فريم دقيقة وتيك باي تيك,auto-split: one bug per short thread
TAL-01187#1,TAL-01187,chart_core_ui,slow-interaction,RC-2,resolved,EU have no flag,auto-split: one bug per short thread
TAL-01225#1,TAL-01225,chart_core_ui,slow-interaction,RC-1,resolved,Changing the font size also changes the position of the text,auto-split: one bug per short thread
TAL-01226#1,TAL-01226,chart_core_ui,order-entry,RC-5,resolved,"Background, border, and wrap text are not working",auto-split: one bug per short thread
TAL-01227#1,TAL-01227,chart_core_ui,slow-interaction,RC-1,resolved,Bold and italic are not working,auto-split: one bug per short thread
TAL-01231#1,TAL-01231,chart_core_ui,slow-interaction,RC-1,resolved,wrap text are not working properly,auto-split: one bug per short thread
TAL-01232#1,TAL-01232,chart_core_ui,slow-interaction,RC-1,resolved,Bold and italic are not working,auto-split: one bug per short thread
TAL-01239#1,TAL-01239,chart_core_ui,slow-interaction,RC-1,resolved,This message appears when refreshing the page,auto-split: one bug per short thread
TAL-01243#1,TAL-01243,chart_core_ui,slow-interaction,RC-1,resolved,Changing between candle types causes a difference in the displayed price,auto-split: one bug per short thread
TAL-01247#1,TAL-01247,chart_core_ui,order-entry,RC-5,resolved,SMA-Based MA we need to move it from Inputs to Style,auto-split: one bug per short thread
TAL-01248#1,TAL-01248,chart_core_ui,order-entry,RC-5,resolved,SMA-Based MA style line not working,auto-split: one bug per short thread
TAL-01250#1,TAL-01250,chart_core_ui,order-entry,RC-5,resolved,The EMA-Based MA option should be moved from the Inputs section to the Style section,auto-split: one bug per short thread
TAL-01252#1,TAL-01252,chart_core_ui,ghost-after-delete,RC-1,resolved,"When hiding the EMA line, a point remains on the chart, which keeps appearing and disappearing with each click on the chart.",auto-split: one bug per short thread
TAL-01253#1,TAL-01253,chart_core_ui,label-mis-anchor,RC-3,resolved,The price label position is changing repeatedly and is not stable,auto-split: one bug per short thread
TAL-01254#1,TAL-01254,chart_core_ui,order-entry,RC-5,resolved,"The Style and Thickness dropdown menus should open downward, not upward",auto-split: one bug per short thread
TAL-01255#1,TAL-01255,chart_core_ui,label-mis-anchor,RC-3,resolved,"The price label is continuously shifting, and the control point is not aligned correctly",auto-split: one bug per short thread
TAL-01256#1,TAL-01256,chart_core_ui,label-mis-anchor,RC-3,resolved,"The price label keeps moving repeatedly The Style and Thickness dropdown menus should open downward, not upward",auto-split: one bug per short thread
TAL-01257#1,TAL-01257,chart_core_ui,label-mis-anchor,RC-3,resolved,The price label keeps moving repeatedly The Style and Thickness menus are expected to open downward instead of opening upward,auto-split: one bug per short thread
TAL-01270#1,TAL-01270,chart_core_ui,indicator-lifecycle,RC-6,resolved,"fter removing the indicator, the divergence lines are still left displayed on the chart.",auto-split: one bug per short thread
TAL-01271#1,TAL-01271,chart_core_ui,indicator-lifecycle,RC-6,resolved,"When hiding the indicator, the divergence lines remain visible inside the indicator container and also on the chart Having the divergence lines only inside the indicator container would be better, as displaying them on the chart as well may",auto-split: one bug per short thread
TAL-01281#1,TAL-01281,chart_core_ui,slow-interaction,RC-1,resolved,"Whenever I change the candle type, the selected setting is not saved. After refreshing the page, it automatically switches back to Heikin Ashi candles.",auto-split: one bug per short thread
TAL-01283#1,TAL-01283,chart_core_ui,slow-interaction,RC-1,resolved,Match the news schedule to your time zone.,auto-split: one bug per short thread
TAL-01301#1,TAL-01301,chart_core_ui,slow-interaction,RC-1,resolved,Error,auto-split: one bug per short thread
TAL-01306#1,TAL-01306,chart_core_ui,slow-interaction,RC-1,resolved,Selecting tools and drawings with the Ctrl key is not working properly.,auto-split: one bug per short thread
TAL-01313#1,TAL-01313,chart_core_ui,slow-interaction,RC-1,resolved,التوقيت غير متطابق في الشارتين يعني اني اذا مشرت بشارت الناسداك مثلا و ردت افتح شارت الي اس نصير عندي مشكلة,auto-split: one bug per short thread
TAL-01328#1,TAL-01328,chart_core_ui,visibility-toggle,RC-2,resolved,"Minutes range from 1 to 59 weeks from 1 to 52 and months from 1 to 12. If minutes are set from 1 to 60 and visibility is hidden only on the 1-hour timeframe, it is expected not to disappear because it will still be visible on the 60-minute ",auto-split: one bug per short thread
TAL-01352#1,TAL-01352,chart_core_ui,slow-interaction,RC-1,resolved,مشكلة بتحديد التوقيت يعني من اخلي الكراوزر على توقيت معين على الناسداك ما يطلعلي نفس التوقيت على الي اس,auto-split: one bug per short thread
TAL-01353#1,TAL-01353,chart_core_ui,slow-interaction,RC-1,resolved,الشارتين ما يمشن مع بعض في التشغيل يعني يتحرك زوج الاخر واقف ما بيتحرك,auto-split: one bug per short thread
TAL-01355#1,TAL-01355,chart_core_ui,slow-interaction,RC-2,resolved,"When I press Ctrl, the selection doesn't work and it freezes.",auto-split: one bug per short thread
TAL-01356#1,TAL-01356,chart_core_ui,drag-mis-anchor,RC-3,resolved,"When zooming in and out, keep the last candle as a stable base; that's where the zooming in/out should occur, as shown in the video.",auto-split: one bug per short thread
TAL-01357#1,TAL-01357,chart_core_ui,label-mis-anchor,RC-3,resolved,"When I click on any drawn tool, the time label changes.",auto-split: one bug per short thread
TAL-01371#1,TAL-01371,chart_core_ui,slow-interaction,RC-1,resolved,"The time system needs to be fixed. I am on the 15-minute timeframe and fully zoomed in, but the time axis at the bottom should display 15-minute intervals",auto-split: one bug per short thread
TAL-01373#1,TAL-01373,chart_core_ui,label-mis-anchor,RC-3,resolved,"When I click on ""apply default"", the price and time labels disappear even though I selected the tool.",auto-split: one bug per short thread
TAL-01374#1,TAL-01374,chart_core_ui,quick-menu-defect,RC-1,resolved,"When I move the mouse quickly over the Quick Menu, a checkmark appears on any option.",auto-split: one bug per short thread
TAL-01383#1,TAL-01383,chart_core_ui,drag-mis-anchor,RC-3,resolved,"When I draw a tool, copy it, and paste it, then I draw another tool in a different location, lock it, and copy and paste it, it will move to the location of the previous tool.",auto-split: one bug per short thread
