tradeId,ticker,direction,setup,netPnL,openTime,closeTime,rMultiple,mae_r,mfe_r,quantity,riskAmount,spread_pips_at_entry,commission_at_entry,pip_value_at_entry
demo-61,EURUSD,SELL,Breakout,241.24,1679553420000,1679765820000,1.26,-0.67,1.51,1,191.0,1.3,3.5,10.0
demo-62,GBPUSD,SELL,Pullback,-49.04,1679769060000,1679895060000,-0.35,-0.89,0.65,1,142.0,1.4,3.0,10.0
demo-63,USDJPY,SELL,Reversal,-92.7,1679900880000,1680059280000,-0.45,-0.25,0.85,1,206.0,1.0,2.8,8.0
demo-64,XAUUSD,BUY,CSV,56.12,1680060600000,1680190200000,0.68,-0.28,1.02,1,82.0,1.6,2.9,10.0
demo-65,NAS100,SELL,Breakout,61.97,1680199620000,1680426420000,0.74,-0.71,0.79,1,84.0,1.3,2.6,10.0
demo-66,EURUSD,BUY,Pullback,187.62,1680434160000,1680632160000,1.14,-0.34,0.61,1,164.0,1.0,3.2,10.0
demo-67,GBPUSD,SELL,Reversal,-74.81,1680641460000,1680727860000,-0.55,-0.61,0.85,1,135.0,2.0,3.5,10.0
demo-68,USDJPY,BUY,CSV,64.46,1680731700000,1680868500000,0.37,-0.56,0.72,1,172.0,1.4,3.1,8.0
demo-69,XAUUSD,SELL,Breakout,76.15,1680872880000,1680934080000,0.37,-0.32,1.19,1,205.0,0.9,1.2,10.0
demo-70,NAS100,BUY,Pullback,46.05,1680944760000,1681167960000,0.48,-0.65,0.2,1,96.0,1.7,3.8,10.0
demo-71,EURUSD,SELL,Reversal,-77.86,1681170600000,1681210200000,-0.71,-0.62,0.85,1,110.0,1.2,2.3,10.0
demo-72,GBPUSD,BUY,CSV,-207.13,1681214880000,1681412880000,-0.92,-0.75,0.85,1,225.0,1.5,1.8,10.0
demo-73,USDJPY,SELL,Breakout,67.87,1681418460000,1681458060000,0.48,-0.05,1.13,1,141.0,1.0,1.7,8.0
demo-74,XAUUSD,BUY,Pullback,-124.1,1681461360000,1681594560000,-1.27,-0.8,0.85,1,98.0,1.2,2.6,10.0
demo-75,NAS100,SELL,Reversal,74.28,1681602420000,1681674420000,0.64,-0.34,1.82,1,116.0,1.2,2.4,10.0
demo-76,EURUSD,SELL,CSV,180.91,1681679400000,1681819800000,1.21,-0.13,0.17,1,149.0,1.6,2.8,10.0
demo-77,GBPUSD,SELL,Breakout,-161.4,1681826880000,1681841280000,-1.17,-0.6,0.85,1,138.0,1.4,3.3,10.0
demo-78,USDJPY,SELL,Pullback,-266.63,1681843560000,1681926360000,-1.26,-0.22,0.85,1,212.0,2.0,2.4,8.0
demo-79,XAUUSD,SELL,Reversal,-193.35,1681934460000,1682125260000,-1.19,-0.36,0.85,1,162.0,1.5,2.2,10.0
demo-80,NAS100,BUY,CSV,155.17,1682131260000,1682386860000,0.79,-0.16,1.87,1,196.0,1.5,2.6,10.0
demo-81,EURUSD,BUY,Breakout,184.27,1682388300000,1682579100000,1.44,-0.52,1.11,1,128.0,0.9,2.6,10.0
demo-82,GBPUSD,BUY,Pullback,418.81,1682580780000,1682713980000,2.05,-0.63,0.64,1,204.0,1.0,1.0,10.0
demo-83,USDJPY,BUY,Reversal,-171.83,1682721600000,1682912400000,-1.25,-0.49,0.35,1,137.0,1.3,3.1,8.0
demo-84,XAUUSD,SELL,CSV,-247.06,1682914680000,1683152280000,-1.33,-0.28,0.85,1,186.0,0.9,2.8,10.0
demo-85,NAS100,SELL,Breakout,-178.48,1683157320000,1683222120000,-1.19,-0.37,0.85,1,150.0,1.7,1.8,10.0
demo-86,EURUSD,SELL,Pullback,-179.8,1683224040000,1683364440000,-0.79,-0.19,0.85,1,228.0,1.1,3.3,10.0
demo-87,GBPUSD,SELL,Reversal,-215.27,1683374340000,1683550740000,-1.33,-0.28,0.85,1,162.0,0.7,3.2,10.0
demo-88,USDJPY,BUY,CSV,48.94,1683558600000,1683735000000,0.41,-0.53,1.45,1,118.0,1.8,2.3,8.0
demo-89,XAUUSD,SELL,Breakout,-58.18,1683741780000,1683986580000,-0.7,-0.67,0.44,1,83.0,1.7,1.8,10.0
demo-90,NAS100,SELL,Pullback,-196.03,1683994440000,1684178040000,-1.2,-0.41,0.81,1,164.0,1.8,1.1,10.0
demo-91,EURUSD,BUY,Reversal,-163.93,1684180140000,1684212540000,-1.07,-0.46,0.31,1,153.0,1.2,3.1,10.0
demo-92,GBPUSD,SELL,CSV,-93.35,1684217040000,1684231440000,-0.57,-0.41,0.42,1,163.0,1.4,3.4,10.0
demo-93,USDJPY,BUY,Breakout,-67.08,1684233000000,1684312200000,-0.67,-0.7,0.85,1,100.0,0.9,2.9,8.0
demo-94,XAUUSD,BUY,Pullback,-62.47,1684315740000,1684528140000,-0.76,-0.32,0.85,1,82.0,1.2,2.0,10.0
demo-95,NAS100,SELL,Reversal,-141.47,1684532940000,1684673340000,-0.75,-0.34,0.85,1,188.0,0.7,2.1,10.0
demo-96,EURUSD,SELL,CSV,-89.09,1684684020000,1684849620000,-0.57,-0.98,0.85,1,155.0,0.6,3.6,10.0
demo-97,GBPUSD,SELL,Breakout,-257.35,1684859340000,1684884540000,-1.24,-0.79,0.61,1,207.0,0.9,1.6,10.0
demo-98,USDJPY,BUY,Pullback,347.53,1684894740000,1685013540000,1.45,-0.09,1.91,1,240.0,1.4,3.2,8.0
demo-99,XAUUSD,SELL,Reversal,-72.24,1685016540000,1685059740000,-0.44,-0.18,0.85,1,163.0,1.3,3.7,10.0
demo-100,NAS100,SELL,CSV,-116.66,1685065140000,1685144340000,-0.57,-0.88,0.85,1,203.0,1.9,1.4,10.0
demo-101,EURUSD,SELL,Breakout,384.88,1685149140000,1685253540000,1.73,-0.06,1.32,1,222.0,1.1,3.2,10.0
demo-102,GBPUSD,BUY,Pullback,-227.32,1685260500000,1685382900000,-1.28,-0.15,0.62,1,177.0,1.5,3.8,10.0
demo-103,USDJPY,SELL,Reversal,-129.06,1685392740000,1685543940000,-0.95,-0.49,0.85,1,136.0,0.8,1.1,8.0
demo-104,XAUUSD,SELL,CSV,156.75,1685554200000,1685572200000,0.76,-0.56,0.98,1,206.0,1.5,3.2,10.0
demo-105,NAS100,SELL,Breakout,-96.59,1685577720000,1685829720000,-0.42,-0.44,0.31,1,230.0,1.5,3.8,10.0
demo-106,EURUSD,SELL,Pullback,196.31,1685837040000,1685966640000,1.13,-0.27,0.92,1,174.0,1.4,3.9,10.0
demo-107,GBPUSD,BUY,Reversal,370.03,1685968020000,1686133620000,2.04,-0.95,1.99,1,181.0,1.5,2.9,10.0
demo-108,USDJPY,BUY,CSV,94.11,1686135420000,1686146220000,0.57,-0.59,0.24,1,165.0,1.4,3.4,8.0
demo-109,XAUUSD,BUY,Breakout,-105.95,1686147840000,1686255840000,-0.91,-0.31,0.85,1,117.0,1.4,3.4,10.0
demo-110,NAS100,BUY,Pullback,195.77,1686261780000,1686315780000,1.73,-0.28,0.83,1,113.0,1.0,1.4,10.0
demo-111,EURUSD,BUY,Reversal,-84.35,1686317040000,1686511440000,-0.77,-0.79,0.85,1,109.0,1.2,1.7,10.0
demo-112,GBPUSD,SELL,CSV,319.82,1686520380000,1686541980000,2.04,-0.11,1.19,1,157.0,1.2,1.3,10.0
demo-113,USDJPY,SELL,Breakout,60.96,1686550860000,1686756060000,0.61,-0.17,1.53,1,100.0,1.1,2.8,8.0
demo-114,XAUUSD,BUY,Pullback,-75.05,1686758040000,1686894840000,-0.36,-0.72,0.85,1,209.0,1.2,3.7,10.0
demo-115,NAS100,SELL,Reversal,318.86,1686902700000,1687093500000,1.63,-0.35,0.81,1,196.0,1.1,1.5,10.0
demo-116,EURUSD,BUY,CSV,-36.31,1687099560000,1687319160000,-0.35,-0.14,0.85,1,103.0,1.4,2.8,10.0
demo-117,GBPUSD,SELL,Breakout,-115.11,1687321080000,1687580280000,-0.7,-0.88,0.85,1,164.0,1.8,3.2,10.0
demo-118,USDJPY,BUY,Pullback,216.46,1687589760000,1687722960000,1.36,-0.25,1.6,1,159.0,1.8,2.1,8.0
demo-119,XAUUSD,BUY,Reversal,-96.08,1687733040000,1687992240000,-0.88,-0.82,0.85,1,109.0,1.5,3.0,10.0
demo-120,NAS100,BUY,CSV,212.21,1687998780000,1688124780000,1.68,-0.93,0.89,1,126.0,1.8,2.7,10.0
demo-121,EURUSD,SELL,Breakout,-153.0,1688126100000,1688313300000,-1.32,-0.14,0.85,1,116.0,1.2,2.0,10.0
demo-122,GBPUSD,BUY,Pullback,-142.52,1688315220000,1688488020000,-0.87,-0.13,0.2,1,163.0,1.7,1.1,10.0
demo-123,USDJPY,BUY,Reversal,-151.36,1688493660000,1688533260000,-0.78,-0.47,0.71,1,193.0,1.1,1.3,8.0
demo-124,XAUUSD,SELL,CSV,164.59,1688538300000,1688765100000,1.04,-0.62,0.1,1,158.0,1.9,3.3,10.0
demo-125,NAS100,BUY,Breakout,198.93,1688774040000,1688892840000,1.22,-0.46,0.38,1,163.0,1.3,3.5,10.0
demo-126,EURUSD,SELL,Pullback,-53.67,1688898180000,1689063780000,-0.3,-0.07,0.85,1,181.0,1.4,2.7,10.0
demo-127,GBPUSD,SELL,Reversal,222.45,1689065760000,1689260160000,2.04,-0.21,2.28,1,109.0,1.8,3.8,10.0
demo-128,USDJPY,SELL,CSV,147.72,1689265500000,1689308700000,1.38,-0.55,1.0,1,107.0,1.6,1.7,8.0
demo-129,XAUUSD,SELL,Breakout,-175.07,1689316260000,1689395460000,-0.83,-0.23,0.85,1,210.0,1.6,3.5,10.0
demo-130,NAS100,BUY,Pullback,73.69,1689397500000,1689465900000,0.7,-0.62,1.84,1,106.0,0.8,3.3,10.0
demo-131,EURUSD,SELL,Reversal,-166.61,1689470400000,1689700800000,-0.74,-0.93,0.85,1,224.0,1.8,2.9,10.0
demo-132,GBPUSD,SELL,CSV,141.13,1689708780000,1689780780000,1.45,-0.81,1.45,1,97.0,1.3,1.9,10.0
demo-133,USDJPY,BUY,Breakout,80.12,1689788400000,1689997200000,0.85,-0.66,2.35,1,94.0,1.5,2.5,8.0
demo-134,XAUUSD,BUY,Pullback,-234.88,1689998640000,1690214640000,-1.06,-0.09,0.85,1,221.0,1.1,2.4,10.0
demo-135,NAS100,BUY,Reversal,375.08,1690224420000,1690296420000,1.92,-0.38,1.74,1,195.0,0.7,3.1,10.0
demo-136,EURUSD,SELL,CSV,-138.51,1690298220000,1690503420000,-0.65,-0.92,0.85,1,213.0,1.6,1.2,10.0
demo-137,GBPUSD,BUY,Breakout,252.09,1690512360000,1690667160000,1.54,-0.32,1.76,1,164.0,1.1,2.7,10.0
demo-138,USDJPY,BUY,Pullback,-161.91,1690669020000,1690737420000,-1.02,-0.42,0.85,1,159.0,1.0,2.1,8.0
demo-139,XAUUSD,SELL,Reversal,325.99,1690743660000,1690898460000,1.52,-0.53,0.12,1,214.0,0.9,1.6,10.0
demo-140,NAS100,BUY,CSV,-57.6,1690901280000,1691128080000,-0.42,-0.33,0.85,1,137.0,1.5,3.6,10.0
demo-141,EURUSD,BUY,Breakout,117.3,1691131920000,1691193120000,0.67,-0.71,1.53,1,176.0,1.6,1.1,10.0
demo-142,GBPUSD,BUY,Pullback,-207.98,1691203140000,1691372340000,-1.08,-0.79,0.62,1,193.0,1.0,3.4,10.0
demo-143,USDJPY,SELL,Reversal,-152.68,1691376840000,1691596440000,-0.88,-0.47,0.85,1,174.0,1.3,2.3,8.0
demo-144,XAUUSD,BUY,CSV,184.28,1691600280000,1691675880000,0.79,-0.66,2.11,1,234.0,1.6,2.5,10.0
demo-145,NAS100,SELL,Breakout,-55.56,1691679840000,1691737440000,-0.55,-0.91,0.42,1,101.0,0.7,3.7,10.0
demo-146,EURUSD,BUY,Pullback,89.77,1691742660000,1691951460000,1.04,-0.41,0.98,1,86.0,1.1,1.1,10.0
demo-147,GBPUSD,BUY,Reversal,99.69,1691957700000,1692004500000,0.85,-0.84,1.69,1,117.0,1.7,2.4,10.0
demo-148,USDJPY,SELL,CSV,152.14,1692010500000,1692014100000,1.81,-0.57,1.77,1,84.0,0.8,1.9,8.0
demo-149,XAUUSD,SELL,Breakout,135.07,1692016200000,1692156600000,1.47,-0.64,0.23,1,92.0,1.4,1.0,10.0
demo-150,NAS100,SELL,Pullback,-80.43,1692159360000,1692396960000,-0.57,-0.05,0.85,1,141.0,0.9,3.0,10.0
demo-151,EURUSD,BUY,Reversal,-82.3,1692406680000,1692651480000,-0.85,-0.8,0.85,1,97.0,1.1,2.4,10.0
demo-152,GBPUSD,BUY,CSV,-92.56,1692657900000,1692837900000,-0.64,-0.11,0.64,1,144.0,1.7,3.2,10.0
demo-153,USDJPY,SELL,Breakout,85.76,1692844500000,1692999300000,0.94,-0.66,2.01,1,91.0,2.0,2.4,8.0
demo-154,XAUUSD,BUY,Pullback,-123.64,1693002240000,1693088640000,-1.29,-0.09,0.55,1,96.0,1.8,1.9,10.0
demo-155,NAS100,BUY,Reversal,-153.37,1693091580000,1693235580000,-0.85,-0.29,0.85,1,181.0,1.0,3.6,10.0
demo-156,EURUSD,SELL,CSV,148.11,1693244340000,1693269540000,0.99,-0.9,1.8,1,149.0,1.1,1.6,10.0
demo-157,GBPUSD,BUY,Breakout,104.85,1693275480000,1693505880000,0.49,-0.45,1.08,1,212.0,1.4,2.0,10.0
demo-158,USDJPY,SELL,Pullback,217.71,1693512420000,1693552020000,1.4,-0.45,1.68,1,155.0,1.2,3.2,8.0
demo-159,XAUUSD,SELL,Reversal,394.42,1693557900000,1693723500000,2.07,-0.95,0.25,1,191.0,1.1,3.4,10.0
demo-160,NAS100,BUY,CSV,-115.52,1693733820000,1693809420000,-1.0,-0.47,0.37,1,116.0,1.7,2.1,10.0
demo-161,EURUSD,BUY,Breakout,-87.73,1693810740000,1693990740000,-1.0,-0.95,0.85,1,88.0,1.4,2.6,10.0
demo-162,GBPUSD,SELL,Pullback,82.83,1694000340000,1694183940000,0.55,-0.75,1.24,1,151.0,1.9,1.4,10.0
demo-163,USDJPY,BUY,Reversal,-75.59,1694189640000,1694312040000,-0.56,-0.92,0.85,1,134.0,0.8,1.2,8.0
demo-164,XAUUSD,BUY,CSV,-134.06,1694319780000,1694402580000,-1.31,-0.99,0.85,1,102.0,1.4,1.9,10.0
demo-165,NAS100,BUY,Breakout,-100.39,1694410260000,1694550660000,-0.81,-0.17,0.55,1,124.0,0.9,2.5,10.0
demo-166,EURUSD,BUY,Pullback,396.95,1694553960000,1694723160000,1.76,-0.57,1.5,1,226.0,0.7,2.2,10.0
demo-167,GBPUSD,BUY,Reversal,-213.8,1694732520000,1694955720000,-1.16,-0.12,0.85,1,185.0,1.2,3.0,10.0
demo-168,USDJPY,BUY,CSV,-99.49,1694964660000,1695126660000,-0.45,-0.97,0.85,1,221.0,1.8,2.6,8.0
demo-169,XAUUSD,SELL,Breakout,192.55,1695129480000,1695269880000,1.59,-0.38,2.26,1,121.0,1.8,1.8,10.0
demo-170,NAS100,BUY,Pullback,-103.7,1695273300000,1695528900000,-0.93,-0.14,0.85,1,112.0,0.8,2.9,10.0
demo-171,EURUSD,SELL,Reversal,-25.31,1695534000000,1695692400000,-0.28,-0.09,0.85,1,90.0,1.5,3.3,10.0
demo-172,GBPUSD,SELL,CSV,125.94,1695701940000,1695896340000,1.45,-0.33,2.3,1,87.0,0.9,3.4,10.0
demo-173,USDJPY,BUY,Breakout,89.15,1695906720000,1696093920000,0.45,-0.47,1.2,1,196.0,1.1,1.4,8.0
demo-174,XAUUSD,SELL,Pullback,181.72,1696099380000,1696246980000,1.0,-0.58,0.82,1,182.0,0.8,2.3,10.0
demo-175,NAS100,BUY,Reversal,94.05,1696253160000,1696321560000,1.02,-0.63,0.66,1,92.0,1.7,3.8,10.0
demo-176,EURUSD,BUY,CSV,150.09,1696323900000,1696471500000,1.25,-0.52,0.8,1,120.0,0.7,2.2,10.0
demo-177,GBPUSD,SELL,Breakout,-40.98,1696475280000,1696687680000,-0.3,-0.32,0.85,1,135.0,1.0,1.0,10.0
demo-178,USDJPY,SELL,Pullback,-119.73,1696692240000,1696742640000,-1.05,-0.78,0.85,1,114.0,0.7,2.7,8.0
demo-179,XAUUSD,BUY,Reversal,188.56,1696750140000,1696919340000,1.23,-0.78,0.73,1,153.0,0.8,1.3,10.0
demo-180,NAS100,BUY,CSV,-239.86,1696928700000,1697101500000,-1.08,-0.24,0.85,1,222.0,0.7,1.4,10.0
demo-181,EURUSD,SELL,Breakout,299.12,1697107560000,1697262360000,1.41,-0.54,0.84,1,212.0,0.8,4.0,10.0
demo-182,GBPUSD,SELL,Pullback,206.17,1697270520000,1697410920000,1.24,-0.52,1.39,1,166.0,1.7,2.1,10.0
demo-183,USDJPY,SELL,Reversal,440.33,1697420880000,1697474880000,1.92,-0.88,1.54,1,229.0,1.0,3.0,8.0
demo-184,XAUUSD,SELL,CSV,290.24,1697482140000,1697590140000,1.27,-0.74,1.88,1,229.0,0.8,3.0,10.0
demo-185,NAS100,BUY,Breakout,121.16,1697591820000,1697609820000,1.12,-0.45,1.04,1,108.0,1.2,3.3,10.0
demo-186,EURUSD,SELL,Pullback,153.13,1697619480000,1697839080000,1.33,-1.0,1.19,1,115.0,1.0,1.5,10.0
demo-187,GBPUSD,SELL,Reversal,372.52,1697840880000,1698089280000,1.7,-0.73,1.57,1,219.0,1.5,1.6,10.0
demo-188,USDJPY,BUY,CSV,443.47,1698095400000,1698210600000,2.0,-0.98,1.87,1,222.0,1.6,2.5,8.0
demo-189,XAUUSD,SELL,Breakout,-250.86,1698215760000,1698438960000,-1.12,-0.31,0.36,1,223.0,1.9,2.2,10.0
demo-190,NAS100,SELL,Pullback,311.36,1698445200000,1698607200000,2.02,-0.13,2.22,1,154.0,1.6,1.6,10.0
demo-191,EURUSD,BUY,Reversal,-89.42,1698610320000,1698858720000,-0.4,-0.63,0.85,1,223.0,0.7,3.7,10.0
demo-192,GBPUSD,BUY,CSV,149.19,1698863760000,1698968160000,1.07,-0.73,0.31,1,139.0,0.6,2.7,10.0
demo-193,USDJPY,BUY,Breakout,140.51,1698978840000,1699054440000,0.7,-0.97,0.83,1,201.0,1.9,1.3,8.0
demo-194,XAUUSD,BUY,Pullback,-39.39,1699061580000,1699169580000,-0.44,-0.89,0.49,1,89.0,2.0,2.2,10.0
demo-195,NAS100,SELL,Reversal,-40.07,1699178640000,1699409040000,-0.26,-0.59,0.33,1,154.0,1.0,4.0,10.0
demo-196,EURUSD,BUY,CSV,-81.91,1699412760000,1699664760000,-0.4,-0.53,0.71,1,206.0,1.1,3.2,10.0
demo-197,GBPUSD,BUY,Breakout,-92.95,1699673700000,1699792500000,-1.12,-0.59,0.85,1,83.0,1.5,2.9,10.0
demo-198,USDJPY,SELL,Pullback,221.86,1699796220000,1699983420000,1.05,-0.14,2.36,1,211.0,1.1,1.7,8.0
demo-199,XAUUSD,BUY,Reversal,114.41,1699990860000,1700113260000,0.82,-0.36,1.43,1,140.0,1.0,2.1,10.0
demo-200,NAS100,SELL,CSV,69.25,1700120040000,1700231640000,0.63,-0.7,2.22,1,110.0,1.6,2.9,10.0
demo-201,EURUSD,SELL,Breakout,480.02,1700233440000,1700370240000,2.03,-0.5,1.14,1,237.0,1.2,2.6,10.0
demo-202,GBPUSD,SELL,Pullback,-134.78,1700376780000,1700596380000,-1.0,-0.62,0.85,1,135.0,1.3,2.1,10.0
demo-203,USDJPY,SELL,Reversal,-103.92,1700605500000,1700659500000,-0.47,-0.56,0.46,1,220.0,0.8,1.6,8.0
